問題文,答え,メモ,ジャンル,難易度,タグ
"アメリカの独立戦争において、ジョージ・ワシントンが率いた軍がイギリス軍を破った決定的な戦いで、1781年10月19日にコーンウォリス将軍が降伏したのはどこの戦いでしょう？",ヨークタウンの戦い,アメリカの独立戦争の転換点となった戦いです,文系学問,4.5,"文系学問, 戦争, アメリカ"
"エジプトのピラミッドで最も有名なギザの三大ピラミッドのうち、最も大きく現存する世界七不思議の一つでもある、第4王朝のファラオが建設したものは何でしょう？",クフ王のピラミッド,古代エジプト文明の象徴的建造物です,文系学問,3.8,"文系学問, エジプト, 建築"
"室町時代、応仁の乱の主因となった8代将軍足利義政の跡継ぎ問題で対立した、義政の弟と息子の名前をそれぞれ何というでしょう？",足利義視と足利義尚,応仁の乱の発端となった継承争いです,文系学問,4.2,"文系学問, 室町時代, 人名"
"オーストリアの作曲家ヴォルフガング・アマデウス・モーツァルトが1787年に作曲した、プラハで初演されたオペラで、ドン・ファン伝説を基にした作品は何でしょう？",ドン・ジョヴァンニ,モーツァルトの三大オペラの一つです,文系学問,4.0,"文系学問, 音楽, オペラ"
"昆虫の体は頭部、胸部、腹部の3つの部分に分かれており、脚は胸部から6本生えていますが、この胸部の3つの節をそれぞれ何と呼ぶでしょう？",前胸・中胸・後胸,昆虫の基本的な体の構造です,理系学問,3.5,"理系学問, 生物, 昆虫"
"元素の周期表で原子番号6番の元素で、ダイヤモンドや黒鉛の主成分となっており、有機化合物の骨格を形成する重要な元素は何でしょう？",炭素,化学の基礎となる重要な元素です,理系学問,2.8,"理系学問, 化学, 元素"
"1989年にベルリンの壁が崩壊し、翌1990年に東西ドイツが統一されましたが、この統一を主導した西ドイツの首相は誰でしょう？",ヘルムート・コール,ドイツ統一の立役者として知られています,社会,3.9,"社会, ドイツ, 政治"
"日本の47都道府県のうち、面積が最も大きい北海道と最も小さい香川県の面積の差は約何倍でしょう？",約42倍,日本の地理に関する数値問題です,社会,4.1,"社会, 地理, 数字"
"2024年に公開されたスタジオジブリ作品で、宮崎駿監督が10年ぶりに手がけた長編アニメーション映画のタイトルは何でしょう？",君たちはどう生きるか,宮崎駿監督の最新作として話題になりました,アニメ&ゲーム,2.5,"アニメ&ゲーム, ジブリ, 映画"
"任天堂のゲーム機Nintendo Switchで2017年に発売され、オープンワールドが話題となったゼルダの伝説シリーズの作品は何でしょう？",ゼルダの伝説 ブレス オブ ザ ワイルド,Nintendo Switchのローンチタイトルの一つです,アニメ&ゲーム,2.2,"アニメ&ゲーム, ゲーム, ゼルダ"
"2023年のWBC（ワールド・ベースボール・クラシック）で日本代表の監督を務め、チームを3大会ぶりの優勝に導いた人物は誰でしょう？",栗山英樹,日本ハムファイターズの元監督です,スポーツ,2.8,"スポーツ, 野球, WBC"
"テニスの四大大会（グランドスラム）のうち、毎年6月から7月にかけてイギリスのロンドン郊外で開催される大会は何でしょう？",ウィンブルドン選手権,芝のコートで行われる伝統ある大会です,スポーツ,2.5,"スポーツ, テニス, イギリス"
"お笑いコンビ「霜降り明星」のメンバーで、ボケ担当として知られ、独特のキャラクターで人気を博している人物は誰でしょう？",粗品,関西出身の人気お笑い芸人です,芸能,2.3,"芸能, お笑い, 霜降り明星"
"2023年の紅白歌合戦で初出場を果たし、代表曲「アイドル」で大ブレイクしたアーティストは誰でしょう？",YOASOBI,推しの子の主題歌で話題になりました,芸能,1.8,"芸能, 音楽, YOASOBI"
"日本の伝統的な調味料で、大豆を発酵させて作られ、味噌汁の主原料となるものは何でしょう？",味噌,日本料理には欠かせない発酵食品です,ライフスタイル,1.5,"ライフスタイル, 調味料, 和食"
"イタリア料理の代表的なパスタで、平たい幅広の麺を使い、ミートソースやクリームソースでよく食べられるものは何でしょう？",フェットチーネ,イタリアの代表的な平打ちパスタです,ライフスタイル,3.2,"ライフスタイル, 料理, イタリア"
