問題文,答え,メモ,ジャンル,難易度,タグ
"畝傍山（うねびやま）、耳成山（みみなしやま）とともに大和三山（やまとさんざん）と呼ばれる、小倉百人一首では持統天皇（じとうてんのう）が衣を干す場所として詠んでいる山はなんでしょう。","天の香具山（あまのかぐやま）","○香具山（かぐやま）","社会","中",""
"葛飾北斎の絵画「文邉（ぶんべ）の不二」には、富士山を眺める彼が描かれている、小倉百人一首にも富士山を読んだ歌が残されている人物で、その歌碑（かひ）が「ふじのくに田子の浦みなと公園」に建立（こんりゅう）されているのは誰でしょう。","山部赤人（やまべのあかひと）","やつし絵なので厳密には山部赤人をやつした人物ですが、美術用語を入れて難易度を上げるのは本意ではないため、シンプルな表現としています。","文系学問","中",""
"Vtuberの栞葉るり(しおりはるり)は、小学生時代にこの歌を習った翌朝の雪景色を見て古典が好きになったという、坂上是則（さかのうえのこれのり）が、明け方の吉野の里にふりつもった雪について詠んだ歌は何でしょう。","朝ぼらけ 有明の月と みるまでに 吉野の里に ふれる白雪","栞葉るりが2024年の配信内で語ったエピソード。百人一首31番の歌。","文系学問","中",""
"持統天皇（じとうてんのう）の宮廷歌人（きゅうていかじん）として、序詞（じょことば）、枕詞（まくらことば）、対句（ついく）などの技巧を凝らした歌を多く残し、山部赤人（やまべのあかひと）と共に歌聖（かせい）と呼ばれた人物で、小倉百人一首では、持統天皇と山部赤人に挟まれた歌番号3番の作者であるのはだれでしょう。","柿本人麻呂（かきのもとのひとまろ）","","文系学問","中",""
"宇治の高級茶の銘柄で、その名の由来は小倉百人一首の歌番号8番の歌人の名前であり、1853年の黒船来航時に読まれた風刺狂歌では、「たった四杯で夜も眠れず」と詠まれたものはなんでしょう。","喜撰（きせん）","○上喜撰（じょうきせん）","社会","中",""
"紀貫之のかな序では、「衣通姫（そとほりひめ）の流（ながれ）なり。あはれなるやうにて、つよからず。いはば、よき女の悩めるところあるに似たり。つよからぬは女の歌なればなるべし。」と評されている、「花の色は」の歌でも知られる、六歌仙唯一の女性は誰でしょう。","小野小町（おののこまち）","現代語訳：昔の衣通姫の系統。しみじみ心にしみるけど、強さがない。言うなれば高貴な女性が病気で苦しんでいるさまに似てる。ただ強くないのは女性だからだろう","文系学問","中",""
"795年に一度は機能が停止されるも857年に常設の関所として改めて整備された、山城国（やましろのくに）と近江国（おうみのくに）の間の関所で、小倉百人一首では、蝉丸と清少納言の歌に詠まれているものはどこでしょう。","逢坂の関（おうさかのせき）","","社会","中",""
"小倉百人一首では、法性寺入道前関白太政大臣（ほっしょうじにゅうどうさきのかんぱくだいじょうだいじん）と、参議篁（さんぎたかむら）の歌の冒頭に共通して登場する、広々とした海という意味がある古語はなんでしょう。","わたの原（はら）","藤原忠通（ふじわらのただみち）と小野篁（おののたかむら）のこと","文系学問","中",""
"「取っ手や注ぎ口が特徴の鍋」の名前の由来とされる人物で、小倉百人一首においては、歌番号16番の「たち別れ」の歌人であることでも知られる、在原業平（ありわらのなりひら）の兄にあたる人物は誰でしょう。","在原行平（ありわらのゆきひら）","○中納言行平","社会","中",""
"藤原実方（ふじわらのさねかた）の和歌
かくとだに えやは（wa）伊吹の さしも草 さしも知らじな 燃ゆる思ひを
の「さしも草」とは、現代ではなんと呼ばれている植物でしょう。","ヨモギ","","理系学問","中",""
"内気で控えめなイメージのある母と比較して、恋多き女性であるイメージを持たれることが多い人物であり、百人一首では歌番号58の「有馬山 猪名（いな）の笹原 風吹けば」の歌を詠んだのは誰でしょう？","大弐三位（だいにのさんみ）
○藤原賢子（ふじわらのかたこ/ かたいこ/けんし）、○藤三位（とうのさんみ）、○越後弁（えちごのべん）、○弁乳母（べんのめのと）","母と連番で並ぶ配置が百人一首の特徴。","文系学問","中","文系学問, 百人一首, 古典"
"武官を引くと順番が逆回りになる、蝉丸を引くと即負けになる、などといったローカルルールが数多く存在する、百人一首の絵札を順にめくって絵柄によるルールに従い札を集める遊びを何というでしょう？","坊主めくり（ぼうずめくり）","弓矢を持っている人が武官とされる","文系学問","中","文系学問, 百人一首, 遊び"
