問題文,答え,メモ,ジャンル,難易度,タグ
水泳の4泳法の一つで両腕を同時に身体の前方に振り上げながらドルフィンキックで推進しエネルギー消費が最も激しいとされる泳法は何でしょう？,バタフライ,"4泳法はクロール・背泳ぎ・平泳ぎ・バタフライ。両腕を同時に水面上に振り上げて前方に回す動きと両足同時のドルフィンキックが特徴",スポーツ,1.5,"スポーツ,水泳,技"
サッカーで相手ゴールライン側からのパスを受ける瞬間に相手フィールドプレーヤーの最終ライン（最後から2番目）より前にいる状態でボールを受けた場合に宣告される反則は何でしょう？,オフサイド,"相手の最後から2番目のフィールドプレーヤーより前にいる状態がオフサイドポジション。守備を崩す不公平なプレーを防ぐルール",スポーツ,1.5,"スポーツ,サッカー,ルール"
試合前に先住民族マオリ族伝来の踊り「ハカ」を全員で行う伝統を持ちラグビーW杯で3度の優勝を誇るニュージーランド代表チームの愛称は何でしょう？,オールブラックス,"All Blacks。W杯1987・2011・2015年優勝。ハカはマオリ族の儀礼的な踊り",スポーツ,2.0,"スポーツ,ラグビー,ニュージーランド,チーム"
岩手県奥州市出身で2021年MLBシーズンに先発投手13勝・指名打者46本塁打を同時達成し「ベーブ・ルース以来100年ぶりの二刀流」と称された野球選手は誰でしょう？,大谷翔平,"現在ロサンゼルス・ドジャース所属。2023年WBC日本代表でMVPを受賞",スポーツ,1.0,"スポーツ,野球,MLB,選手"
「蹴る」を意味するマレー語と「籐の球」を意味するタイ語を組み合わせた名称を持ちネット越しに足・膝・頭などを使ってボールを打ち合うタイやマレーシアなど東南アジアで盛んな競技は何でしょう？,セパタクロー,"sepak（マレー語：蹴る）+ takro（タイ語：籐の球）。現在はプラスチック製の球が主流",スポーツ,3.0,"スポーツ,マイナー競技,東南アジア,セパタクロー"
バスケットボールでゴール下に走り込んだ選手がジャンプしながらパスを受け取りそのまま空中でダンクシュートを叩き込む豪快なプレーをフランス語の曲芸表現「allez hop!」に由来する言葉で何と呼ぶでしょう？,アリウープ,"フランス語の曲芸表現「allez hop!」が語源とされる。NBAの観客を沸かせる定番プレー",スポーツ,2.5,"スポーツ,バスケットボール,技,NBA"
カーリングで放たれたストーンの進路前方の氷面をブラシで激しくこすりストーンの速度や軌道を調整するプレーは何でしょう？,スイープ,"氷面をこすることで摩擦が減りストーンは遠くまで直進する。進行方向のわずかな調整も可能",スポーツ,2.5,"スポーツ,カーリング,技"
2009年のベルリン世界陸上で100mを9秒58・200mを19秒19で駆け抜けた両種目の世界記録保持者で「稲妻ポーズ」でも知られるジャマイカ人スプリンターは誰でしょう？,ウサイン・ボルト,"9秒58（100m）は2026年現在も世界記録。2017年の世界選手権を最後に引退",スポーツ,1.5,"スポーツ,陸上競技,選手,世界記録"
ベーブ・ルース・ルー・ゲーリッグ・ジョー・ディマジオ・デレク・ジーターなど球史の超大物を次々輩出しワールドシリーズ制覇27回というMLB最多記録を誇る米ニューヨーク・ブロンクスのチームは何でしょう？,ニューヨーク・ヤンキース,"ワールドシリーズ優勝27回はMLB最多。ホームスタジアムはヤンキー・スタジアム",スポーツ,1.5,"スポーツ,野球,MLB,チーム"
テニスで双方が40対40の同点になった際にどちらかが連続2ポイントを取るまでゲームを続ける状態を何と呼ぶでしょう？,デュース,"フランス語のdeux（2）が語源という説がある。この状態からアドバンテージをめぐる攻防が続く",スポーツ,2.0,"スポーツ,テニス,ルール"
