問題文,答え,メモ,ジャンル,難易度,タグ
週刊少年ジャンプで連載され、海賊王を目指す少年ルフィの冒険を描いた尾田栄一郎の漫画は何でしょう？,ONE PIECE（ワンピース）,1997年連載開始。累計発行部数世界記録。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
任天堂のゲームキャラクターで、キノコ王国のピーチ姫を助けるためにクッパと戦う赤い帽子の配管工は誰でしょう？,マリオ,Super Mario。1985年スーパーマリオブラザーズで大ヒット。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,任天堂"
手塚治虫が生み出した、天馬博士が作った10万馬力のロボットの少年を主人公とする漫画は何でしょう？,鉄腕アトム（てつわんアトム）,1952年連載開始。日本初の30分テレビアニメシリーズ（1963年）。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,手塚治虫"
ポケットモンスターシリーズで、最初にサトシのパートナーとなった黄色い電気タイプのポケモンは何でしょう？,ピカチュウ,Pikachu。図鑑No.025。進化前はピチュー、進化後はライチュウ。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,ポケモン"
宮崎駿監督のスタジオジブリ作品で、神隠しに遭った少女千尋の成長を描いた、アカデミー賞受賞作は何でしょう？,千と千尋の神隠し,2001年公開。日本映画歴代興行収入1位（当時）。第75回アカデミー長編アニメ映画賞。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,ジブリ"
鳥山明が原作の漫画で、サイヤ人の孫悟空が仲間と共に強敵と戦い成長していく物語は何でしょう？,ドラゴンボール,DRAGON BALL。1984年連載開始。かめはめ波が代名詞。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
セガが生み出した、青いハリネズミが主人公の、高速アクションゲームのシリーズは何でしょう？,ソニック・ザ・ヘッジホッグ,Sonic the Hedgehog。1991年登場。セガのマスコットキャラクター。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,セガ"
藤子・F・不二雄の漫画で、22世紀から来た猫型ロボットがのび太を助ける物語は何でしょう？,ドラえもん,1969年連載開始。四次元ポケットから道具を出す。国民的キャラクター。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,藤子F不二雄"
スクウェア・エニックスの人気RPGで、クラウド・ストライフやティファが登場する、通称FFと呼ばれるシリーズは何でしょう？,ファイナルファンタジー,Final Fantasy。1987年第1作発売。坂口博信が生みの親。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,RPG"
集英社の漫画で、鬼に家族を殺された竈門炭治郎が妹の禰豆子を人間に戻すために戦う作品は何でしょう？,鬼滅の刃（きめつのやいば）,吾峠呼世晴作。2020年劇場版が歴代興行収入1位。大正時代が舞台。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
ゲームの世界大会で賞金が出る対戦型ゲームの競技を、英語で何というでしょう？,eスポーツ（esports）,electronic sports。LoL・Valorant・格闘ゲームなど多数。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
新世紀エヴァンゲリオンで、主人公の碇シンジが搭乗する人造人間の正式名称の略称は何でしょう？,エヴァ（EVA）,Evangelion。NERV所属。初号機が代表的。庵野秀明監督。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,エヴァンゲリオン"
マインクラフトで、敵Mobと戦いながら資源を集めて生活するゲームモードの名前は何でしょう？,サバイバル（Survival）,体力・空腹・経験値の概念がある。クリエイティブモードとは別。,アニメ&ゲーム,2.5,"アニメ&ゲーム,ゲーム,マインクラフト"
高橋留美子の漫画で、半妖の主人公と女子高生かごめが戦国時代で四魂の玉のかけらを集める物語は何でしょう？,犬夜叉（いぬやしゃ）,2000年からテレビアニメ化。サンデー連載。続編「半妖の夜叉姫」も。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,サンデー"
任天堂のアクションアドベンチャーゲームで、ハイラル王国を舞台にリンクが冒険するシリーズは何でしょう？,ゼルダの伝説,The Legend of Zelda。1986年第1作。「ブレス オブ ザ ワイルド」が世界的大ヒット。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,任天堂"
週刊少年ジャンプ連載の漫画で、忍者の世界を舞台にうずまきナルトが火影を目指す物語は何でしょう？,NARUTO（ナルト）,岸本斉史作。1999年連載開始。世界累計2億5000万部以上。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
ゲームで、プレイヤーが操作するキャラクターの視点で戦う射撃ゲームのジャンルを英語の略称で何というでしょう？,FPS,First Person Shooter。一人称視点シューティング。CoD・Valorantなど。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
スタジオジブリの作品で、魔女の修行のために知らない街にやってきた少女キキの物語は何でしょう？,魔女の宅急便（まじょのたっきゅうびん）,1989年公開。角野栄子原作。黒猫ジジが相棒。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,ジブリ"
カプコンの対戦格闘ゲームで、リュウや春麗などのキャラクターが登場するシリーズは何でしょう？,ストリートファイター,Street Fighter。1987年第1作。対戦格闘ゲームの草分け。波動拳・昇龍拳。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,格闘"
諫山創の漫画で、巨人が支配する世界で人類が壁の中で暮らし、エレン・イェーガーが戦う物語は何でしょう？,進撃の巨人（しんげきのきょじん）,2009年連載開始。別冊少年マガジン。2023年完結。世界的ヒット。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,マガジン"
ゲームのジャンルで、プレイヤーがキャラクターの役割を演じて経験値を稼ぎレベルアップしていく形式を、アルファベット3文字で何というでしょう？,RPG,Role Playing Game。ドラクエ・FF・ポケモンなど。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
青山剛昌の漫画で、黒の組織に幼児化させられた高校生探偵が事件を解決するシリーズは何でしょう？,名探偵コナン,1994年連載開始。劇場版も大ヒット。少年サンデー。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,サンデー"
コーエーテクモの人気ゲームで、オメガフォースが開発した、戦国武将を操作して大軍の敵をなぎ倒すアクションゲームは何でしょう？,戦国無双（せんごくむそう）,2004年第1作。真・三國無双のスピンオフ。一騎当千アクション。,アニメ&ゲーム,2.5,"アニメ&ゲーム,ゲーム,アクション"
荒木飛呂彦の漫画で、ジョースター家の血統の主人公たちが「スタンド」という能力で戦うシリーズは何でしょう？,ジョジョの奇妙な冒険,1986年連載開始。「ジョジョ」の略称で知られる。独特なポーズが有名。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
任天堂のゲームで、様々なゲーム作品のキャラクターが一堂に集まって対戦する格闘ゲームシリーズは何でしょう？,大乱闘スマッシュブラザーズ,Super Smash Bros.。通称スマブラ。1999年第1作（N64）。桜井政博ディレクター。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,任天堂"
CLAMPの漫画で、桜が封印の解かれたカードを集めるために奮闘する少女漫画は何でしょう？,カードキャプターさくら,1996年連載開始。なかよし連載。2018年にクリアカード編アニメ化。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少女漫画"
Mojangが開発した、ブロックで構成された世界で自由に建築や冒険ができるサンドボックスゲームは何でしょう？,マインクラフト,Minecraft。2011年正式版リリース。世界で最も売れたゲーム（3億本以上）。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,サンドボックス"
アニメの制作で、原画と原画の間の動きを描く作業を何というでしょう？,動画（中割り）,in-between。原画の間を補間する。アニメーターの基本作業。,アニメ&ゲーム,2.5,"アニメ&ゲーム,アニメ,制作"
コナミの音楽ゲームで、画面の上から降ってくるノートに合わせてボタンを押すシリーズの第1作は何でしょう？,beatmania（ビートマニア）,1997年登場。音ゲーブームの先駆け。DJシミュレーション。,アニメ&ゲーム,2.5,"アニメ&ゲーム,ゲーム,音ゲー"
冨樫義博の漫画で、ハンター試験に挑む少年ゴンの冒険を描いた作品は何でしょう？,HUNTER×HUNTER（ハンターハンター）,1998年連載開始。念能力が特徴的な設定。長期休載が多い。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
ソニーのゲーム機で、2020年に発売された据置型ゲーム機の正式名称は何でしょう？,PlayStation 5（プレイステーション5）,PS5。2020年11月発売。SSD搭載で高速読み込み。DualSenseコントローラー。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,ハードウェア"
高橋和希が原作のカードゲームを題材にした漫画で、闇のゲームを戦う武藤遊戯の物語は何でしょう？,遊☆戯☆王（ゆうぎおう）,Yu-Gi-Oh!。1996年連載開始。トレーディングカードゲームが世界的ヒット。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,カードゲーム"
アニメや漫画で、声の出演を行う職業を日本語で何というでしょう？,声優（せいゆう）,voice actor。アニメ・ゲーム・吹き替えなど。近年はアイドル化も進む。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,用語"
Epic Gamesが開発した、100人のプレイヤーが最後の1人になるまで戦うバトルロイヤルゲームは何でしょう？,フォートナイト（Fortnite）,2017年配信開始。建築要素が特徴。基本プレイ無料。全世界3億5000万人以上。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,バトルロイヤル"
スタジオジブリの作品で、となりに住む不思議な生き物と姉妹の交流を描いた宮崎駿監督の映画は何でしょう？,となりのトトロ,1988年公開。メイとサツキが主人公。猫バスやまっくろくろすけも人気。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,ジブリ"
ゲームで、キャラクターの体力や生命力を表す「ヒットポイント」の英語の略称をアルファベット2文字で何というでしょう？,HP,Hit Points。0になると戦闘不能。MPは魔力。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
井上雄彦の漫画で、不良少年の桜木花道がバスケットボールに目覚め成長する物語は何でしょう？,SLAM DUNK（スラムダンク）,1990年連載開始。2022年劇場版「THE FIRST SLAM DUNK」大ヒット。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
カプコンのゲームで、ゾンビが蔓延する世界を舞台にしたサバイバルホラーシリーズは何でしょう？,バイオハザード,Resident Evil（海外名）。1996年第1作。サバイバルホラーの代名詞。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,ホラー"
漫画やアニメの同人誌即売会で、毎年夏と冬にビッグサイトで開催される世界最大規模のイベントは何でしょう？,コミックマーケット（コミケ）,Comic Market。1975年第1回開催。参加者数70万人以上。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,イベント"
任天堂の携帯型ゲーム機とテレビ出力の両方ができる、2017年発売のゲーム機は何でしょう？,Nintendo Switch（ニンテンドースイッチ）,2017年3月発売。Joy-Conコントローラー。1億4000万台以上販売。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,ハードウェア"
武内直子の漫画で、月野うさぎが変身して悪と戦う少女戦士の物語は何でしょう？,美少女戦士セーラームーン,1991年連載開始。なかよし連載。世界的に人気の変身ヒロイン作品。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少女漫画"
ゲームのジャンルで、MOBA（Multiplayer Online Battle Arena）の代表作として知られる、Riot Gamesの作品は何でしょう？,リーグ・オブ・レジェンド（LoL）,League of Legends。2009年リリース。世界で最もプレイされたゲームの一つ。,アニメ&ゲーム,2.5,"アニメ&ゲーム,ゲーム,MOBA"
尾田栄一郎の「ONE PIECE」で、ルフィが食べて体がゴムのようになった悪魔の実の名前は何でしょう？,ゴムゴムの実,正式名はヒトヒトの実 モデル:ニカ（原作後半で判明）。通称がゴムゴムの実。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,ONE PIECE"
テレビアニメで、1回の放送分のことを、映画の用語を使って何というでしょう？,1話（エピソード）,episode。「第○話」と数える。1クール＝約12〜13話。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,用語"
フロム・ソフトウェアが開発した「ソウルライク」というジャンルを生んだ、2011年発売の高難度アクションRPGは何でしょう？,ダークソウル（Dark Souls）,2011年第1作。「ソウルライク」というジャンルを生んだ。宮崎英高ディレクター。,アニメ&ゲーム,2.5,"アニメ&ゲーム,ゲーム,アクション"
「ジョジョの奇妙な冒険」第3部に登場する空条承太郎のスタンドの名前は何でしょう？,スタープラチナ,Star Platinum。時を止める能力を持つ。オラオラオラのラッシュが有名。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,スタンド"
ゲームで、課金することで入手できるキャラクターやアイテムをランダムに引く仕組みを何というでしょう？,ガチャ,カプセルトイが語源。ソーシャルゲームの主な収益モデル。天井システムも。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
新海誠監督のアニメ映画で、彗星が接近する日に男女が入れ替わる現象を描いた2016年の大ヒット作は何でしょう？,君の名は。,Your Name.。興行収入250億円超。RADWIMPSが音楽担当。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,新海誠"
堀越耕平の漫画で、個性という超能力を持つ人々が暮らす世界でヒーローを目指す緑谷出久の物語は何でしょう？,僕のヒーローアカデミア,My Hero Academia。通称ヒロアカ。2014年連載開始。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
任天堂のゲームで、プレイヤーが無人島に移住し、動物の住民たちと自由に生活するシミュレーションゲームは何でしょう？,あつまれ どうぶつの森,Animal Crossing: New Horizons。2020年発売。4000万本以上販売。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,任天堂"
