問題文,答え,メモ,ジャンル,難易度,タグ
2015年の国連サミットで193カ国が採択した「2030アジェンダ」の中心となる目標で、貧困・ジェンダー平等・気候変動対策など17の国際目標を含む取り組みの略称は何でしょう？,SDGs,「Sustainable Development Goals」の略。2030年までの達成を目指す。,社会,3,"短文基本,社会,国連,環境"
ソクラテスに師事してその思想を対話篇に記録し、アテネ郊外に哲学学校「アカデメイア」を開設してアリストテレスを育てた古代ギリシャの哲学者で、「イデア論」を唱えた人物は誰でしょう？,プラトン,ソクラテスの弟子、アリストテレスの師。アカデメイア設立。,文系学問,4,"短文基本,哲学,古代ギリシャ,人物"
オリンピックで100m・200m・4×100mリレーの3種目を3大会連続で制するという史上初の偉業を達成し、「世界最速の男」の称号を持つジャマイカの陸上選手は誰でしょう？,ウサイン・ボルト（ボルト）,2008北京・2012ロンドン・2016リオで100m・200m・リレー3冠を達成。,スポーツ,3,"短文基本,陸上,オリンピック,短距離"
阪急電鉄の創業者・小林一三（こばやしいちぞう）が1914年に設立し、女性のみで構成され男役と娘役に分かれて上演する、現在も兵庫県宝塚市に本拠を置く歌劇団は何でしょう？,宝塚歌劇団,1914年設立。女性のみの歌劇団。本拠地は兵庫県宝塚市。,芸能,3,"短文基本,芸能,舞台,歌劇"
ヴェゲナーの大陸移動説を発展させて1960年代に確立した地球科学理論で、地球表面が十数枚の硬い岩盤（プレート）で覆われており、それらの移動・衝突・分離が火山活動・地震・造山運動の原因となるとする理論を何というでしょう？,プレートテクトニクス,海洋底拡大説（ヘスとディーツ）を統合して成立した理論。,理系学問,5,"短文基本,地学,地球科学,理論"
ロジャー・フェデラー、ノバク・ジョコビッチとともにテニス界の「ビッグ3」を形成し、赤土のコートで行われる全仏オープンに14回優勝して「クレーの王者」の異名をとったスペインの選手は誰でしょう？,ラファエル・ナダル（ナダル）,全仏オープン14回優勝。「クレーの王者」と呼ばれる。,スポーツ,4,"短文基本,テニス,グランドスラム,スペイン"
古代インドで「空」を意味する「シューニャ」として生まれ、アラビア数学を経てヨーロッパに伝わった際に単なる位取り記号から数として認識されるようになった、任意の数に足しても値が変わらない性質を持つ数は何でしょう？,ゼロ（0）,インドのブラーマグプタが演算ルールを整備。アラビア経由でヨーロッパへ。,ノンジャンル,4,"短文基本,数学,歴史,概念"
「アタリショック」後の北米家庭用ゲーム市場を立て直したとも評価される作品で、ファミコン向けに1985年に発売され、マリオがクッパに拐（さら）われたピーチ姫を救う横スクロールアクションゲームは何でしょう？,スーパーマリオブラザーズ,北米ではNESとして発売。アタリショック後の市場回復に貢献したとされる。,アニメ&ゲーム,3,"短文基本,ゲーム,任天堂,アクション"
品質に問題はないが廃棄される食品を企業・農家・個人から寄付として集め、食料を必要とする生活困窮者や施設に無償で提供する非営利活動の仕組みを、食料と金融機関の名前を組み合わせた言葉で何というでしょう？,フードバンク,1960年代にアメリカで始まった運動。日本でも広まっている。,社会,4,"短文基本,社会,食品,非営利"
「目的のためには手段を選ばない」という解釈でも知られ、道徳や宗教倫理を超えた政治的実利を優先して権力を維持すべきとする思想で、ルネサンス期フィレンツェの外交官が著した『君主論』を源流に持つとされる政治哲学の概念を何というでしょう？,マキャヴェリズム,マキャヴェッリ（1469-1527）の著作『君主論』(1532年出版)に由来。,文系学問,5,"短文基本,哲学,政治思想,ルネサンス"
