問題文,答え,メモ,ジャンル,難易度,タグ
物質を構成する基本的な粒子で、原子核と電子からなる構成単位を何というでしょう？,原子（げんし）,atom。原子核は陽子と中性子からなる。元素の最小単位。,理系学問,2.0,"理系学問,化学,物質"
原子の中心にあり陽子と中性子からなる、原子の質量の大部分を占める部分を何というでしょう？,原子核（げんしかく）,nucleus。ラザフォードの散乱実験で発見。直径は原子の約10万分の1。,理系学問,2.0,"理系学問,化学,物質"
水素・ヘリウム・リチウムなど、元素を原子番号の順に並べた表を何というでしょう？,周期表（しゅうきひょう）,メンデレーエフが1869年に提唱。現在118元素が確認済み。,理系学問,2.0,"理系学問,化学,元素"
水の化学式H₂Oのように、物質を構成する元素の種類と数を記号と数字で表したものを何というでしょう？,化学式（かがくしき）,分子式・組成式・示性式・構造式などの種類がある。,理系学問,2.0,"理系学問,化学,基礎"
酸性の水溶液とアルカリ性の水溶液を混ぜ合わせると塩と水が生じる反応を何というでしょう？,中和（ちゅうわ）,酸のH⁺とアルカリのOH⁻が結合してH₂Oになる。,理系学問,2.0,"理系学問,化学,反応"
水溶液の酸性・アルカリ性の強さを0から14の数値で表す指標を何というでしょう？,pH（ペーハー／ピーエイチ）,pH7が中性。7未満が酸性、7超がアルカリ性。水素イオン濃度の指標。,理系学問,2.0,"理系学問,化学,基礎"
鉄が空気中の酸素や水分と反応して表面にできる赤褐色の物質を何というでしょう？,さび（さび）,酸化鉄(III) Fe₂O₃が主成分。鉄の腐食。防錆処理が重要。,理系学問,2.0,"理系学問,化学,反応"
植物が光のエネルギーを利用して二酸化炭素と水から有機物と酸素を作り出す反応を何というでしょう？,光合成（こうごうせい）,葉緑体で行われる。6CO₂+6H₂O→C₆H₁₂O₆+6O₂。,理系学問,2.0,"理系学問,生物,植物"
動物や植物の細胞の中にあり、遺伝情報を含むDNAが存在する構造体を何というでしょう？,核（かく）,真核細胞に存在。核膜で囲まれDNA・RNA・タンパク質を含む。,理系学問,2.0,"理系学問,生物,細胞"
生物の体を構成する基本単位で、細胞膜に囲まれた構造を何というでしょう？,細胞（さいぼう）,cell。1665年ロバート・フックが発見。動物細胞と植物細胞がある。,理系学問,2.0,"理系学問,生物,細胞"
植物の細胞に存在し、光合成を行う緑色の粒状の構造体を何というでしょう？,葉緑体（ようりょくたい）,chloroplast。クロロフィル（葉緑素）を含む。二重膜構造。,理系学問,2.0,"理系学問,生物,植物"
ヒトの体内で酸素を運搬する役割を持つ、鉄を含む赤い色素タンパク質を何というでしょう？,ヘモグロビン,hemoglobin。赤血球に含まれる。Hb。酸素と結合して全身に運ぶ。,理系学問,2.0,"理系学問,生物,人体"
ヒトの血液中で、体内に侵入した細菌やウイルスなどの異物を攻撃・排除する血球を何というでしょう？,白血球（はっけっきゅう）,好中球・リンパ球・単球など。免疫機能の中心。,理系学問,2.0,"理系学問,生物,人体"
食物に含まれる三大栄養素とは、炭水化物・脂質と、あと一つは何でしょう？,タンパク質,protein。アミノ酸から構成。体の構造・酵素・ホルモンの材料。,理系学問,2.0,"理系学問,生物,栄養"
ヒトの消化器官で、胃の次に食物が送られる約6メートルの長さの管を何というでしょう？,小腸（しょうちょう）,十二指腸・空腸・回腸からなる。栄養素の吸収の主な場所。,理系学問,2.0,"理系学問,生物,人体"
ダーウィンが提唱した、環境に適応した個体が生き残り子孫を残すという進化の理論を何というでしょう？,自然選択（しぜんせんたく）,natural selection。『種の起源』（1859年）で発表。適者生存。,理系学問,2.5,"理系学問,生物,進化"
DNAの二重らせん構造を1953年に発表した、アメリカとイギリスの科学者2人は誰と誰でしょう？,ワトソンとクリック,ジェームズ・ワトソンとフランシス・クリック。X線回折データはロザリンド・フランクリンによる。,理系学問,2.5,"理系学問,生物,遺伝"
遺伝情報を担う物質で、アデニン・グアニン・シトシン・チミンの4種の塩基を含む核酸をアルファベット3文字で何というでしょう？,DNA,デオキシリボ核酸。二重らせん構造。A-T、G-Cの塩基対。,理系学問,2.0,"理系学問,生物,遺伝"
メンデルが発見した遺伝の法則のうち、雑種第一代ではどちらか一方の形質のみが現れるという法則を何というでしょう？,顕性の法則（けんせいのほうそく）,現在は「顕性の法則」と呼称変更。エンドウの交配実験から発見。,理系学問,2.5,"理系学問,生物,遺伝"
ニュートンが発見した、すべての物体は互いに引き合うという力の法則を何というでしょう？,万有引力の法則（ばんゆういんりょくのほうそく）,F=GMm/r²。リンゴの逸話で有名。1687年プリンキピアで発表。,理系学問,2.0,"理系学問,物理,力"
物体に力が加わらないとき、静止している物体は静止し続け、運動している物体は等速直線運動を続けるという法則を何というでしょう？,慣性の法則（かんせいのほうそく）,ニュートンの運動の第一法則。ガリレオも先駆的研究。,理系学問,2.0,"理系学問,物理,力"
力を加えた方向と同じ方向に物体を動かしたとき、力の大きさと移動距離の積で求められる物理量を何というでしょう？,仕事（しごと）,W=Fs。単位はジュール（J）。力の方向と移動方向が同じ場合。,理系学問,2.0,"理系学問,物理,力"
1秒間あたりの仕事の量で表される、仕事の速さを示す物理量を何というでしょう？,仕事率（しごとりつ）,power。P=W/t。単位はワット（W）。,理系学問,2.0,"理系学問,物理,力"
電流の単位アンペアに名を残す、フランスの物理学者は誰でしょう？,アンペール,André-Marie Ampère。電磁気学の創始者。右ねじの法則。,理系学問,2.0,"理系学問,物理,電気"
電圧の単位に名を残す、電池を発明したイタリアの物理学者は誰でしょう？,ボルタ,Alessandro Volta。1800年にボルタ電池を発明。,理系学問,2.0,"理系学問,物理,電気"
電気抵抗の単位に名を残す、電圧と電流と抵抗の関係を表す法則を発見したドイツの物理学者は誰でしょう？,オーム,Georg Ohm。V=IR（オームの法則）。,理系学問,2.0,"理系学問,物理,電気"
光が水やガラスなどの異なる媒質の境界面で進行方向が曲がる現象を何というでしょう？,屈折（くっせつ）,refraction。スネルの法則。入射角と屈折角の関係。,理系学問,2.0,"理系学問,物理,光"
音が障害物に当たってはね返り、再び聞こえる現象を何というでしょう？,反射（はんしゃ）,echo（こだま・やまびこ）。入射角＝反射角。,理系学問,2.0,"理系学問,物理,音"
同じ弦楽器でも弦を短く張ると音が高くなりますが、この音の高さを決める、1秒間あたりの波の振動回数を漢字3文字で何というでしょう？,振動数（しんどうすう）,周波数とも。単位はヘルツ（Hz）。ヒトの可聴域は約20〜20000Hz。,理系学問,2.0,"理系学問,物理,音"
物体の速さと向きを合わせて表す物理量で、矢印（ベクトル）で表現されるものを何というでしょう？,速度（そくど）,velocity。速さ（スカラー）に方向を加えたベクトル量。,理系学問,2.0,"理系学問,物理,力"
地震が発生した地下の場所を震源というのに対し、その真上の地表の点を何というでしょう？,震央（しんおう）,epicenter。震源の真上の地表面上の点。震度分布の中心付近。,理系学問,2.0,"理系学問,地学,地震"
地震のゆれのうち、初めに到達する小さなゆれをP波というのに対し、後から到達する大きなゆれを何というでしょう？,S波（エスは）,Secondary wave。横波。P波（縦波）より遅い。液体中を伝わらない。,理系学問,2.0,"理系学問,地学,地震"
地球の表面を覆う十数枚の岩盤のことを何というでしょう？,プレート,tectonic plate。プレートテクトニクス理論。太平洋プレート・ユーラシアプレートなど。,理系学問,2.0,"理系学問,地学,地球"
マグマが地表に噴出する現象を何というでしょう？,噴火（ふんか）,eruption。火山活動の一種。溶岩流・火砕流・火山灰を放出。,理系学問,2.0,"理系学問,地学,火山"
マグマが冷え固まってできた岩石を総称して何というでしょう？,火成岩（かせいがん）,igneous rock。火山岩（急冷）と深成岩（ゆっくり冷却）に分かれる。,理系学問,2.0,"理系学問,地学,岩石"
砂や泥などが堆積して固まった岩石を総称して何というでしょう？,堆積岩（たいせきがん）,sedimentary rock。砂岩・泥岩・石灰岩・凝灰岩など。層状構造が特徴。,理系学問,2.0,"理系学問,地学,岩石"
太陽系の惑星のうち、地球のすぐ外側を公転する赤い惑星を何というでしょう？,火星（かせい）,Mars。赤い色は酸化鉄による。オリンポス山は太陽系最大の火山。,理系学問,2.0,"理系学問,地学,天文"
太陽系の惑星のうち最も大きい、主に水素とヘリウムからなるガス惑星を何というでしょう？,木星（もくせい）,Jupiter。大赤斑が特徴。衛星数95以上。直径は地球の約11倍。,理系学問,2.0,"理系学問,地学,天文"
太陽系の惑星のうち、美しいリング（環）で知られる第6惑星を何というでしょう？,土星（どせい）,Saturn。環は氷と岩石の粒子。密度が水より小さい唯一の惑星。,理系学問,2.0,"理系学問,地学,天文"
地上の天気の変化に大きな影響を与える、大気の下層約10〜16kmの範囲を何というでしょう？,対流圏（たいりゅうけん）,troposphere。高度とともに気温低下。雲・雨・風など気象現象の場。,理系学問,2.5,"理系学問,地学,気象"
暖かい空気の塊と冷たい空気の塊がぶつかる境界にできる線を何というでしょう？,前線（ぜんせん）,front。温暖前線・寒冷前線・停滞前線・閉塞前線の4種類。,理系学問,2.0,"理系学問,地学,気象"
高気圧から低気圧に向かって吹く空気の流れを何というでしょう？,風（かぜ）,wind。気圧差により生じる。コリオリ力で偏向。,理系学問,2.0,"理系学問,地学,気象"
台風が日本付近で東寄りに進路を変える際に影響を受ける、上空を吹く強い西風を何というでしょう？,偏西風（へんせいふう）,westerlies。中緯度の上空を西から東へ吹く。ジェット気流を含む。,理系学問,2.0,"理系学問,地学,気象"
電気回路において、電流が1つの道筋でつながっている回路を直列回路というのに対し、枝分かれしている回路を何というでしょう？,並列回路（へいれつかいろ）,parallel circuit。各抵抗にかかる電圧が等しい。合成抵抗は小さくなる。,理系学問,2.0,"理系学問,物理,電気"
1Aの電流が1秒間に運ぶ電気の量を何というでしょう？,1クーロン,coulomb（C）。Q=It。電気素量e≈1.6×10⁻¹⁹C。,理系学問,2.5,"理系学問,物理,電気"
物体が持つエネルギーのうち、高い位置にあることによって持つエネルギーを何というでしょう？,位置エネルギー（いちエネルギー）,potential energy。mgh。高さと質量に比例。,理系学問,2.0,"理系学問,物理,エネルギー"
物体が運動していることによって持つエネルギーを何というでしょう？,運動エネルギー（うんどうエネルギー）,kinetic energy。½mv²。速さの2乗に比例。,理系学問,2.0,"理系学問,物理,エネルギー"
エネルギーは形を変えても、その総量は変化しないという法則を何というでしょう？,エネルギー保存の法則（エネルギーほぞんのほうそく）,law of conservation of energy。熱力学第一法則と関連。,理系学問,2.0,"理系学問,物理,エネルギー"
てこの原理で、力を加える点を力点、物を持ち上げる点を作用点というとき、てこを支える点を何というでしょう？,支点（してん）,fulcrum。力点×力点の距離＝作用点×作用点の距離。,理系学問,2.0,"理系学問,物理,力"
空気中を伝わる音の速さはおよそ秒速何メートルでしょう？,秒速340メートル（びょうそく340メートル）,気温15℃での値。気温が高いほど速い。V≈331.5+0.6t。,理系学問,2.0,"理系学問,物理,音"
太陽の光をプリズムに通すと虹のように複数の色に分かれますが、この現象を何というでしょう？,分散（ぶんさん）,dispersion。波長による屈折率の違いで光が分離。,理系学問,2.5,"理系学問,物理,光"
植物の根から吸い上げた水分が葉の気孔から水蒸気として放出される現象を何というでしょう？,蒸散（じょうさん）,transpiration。気孔の開閉で調節。根からの水の吸い上げの原動力。,理系学問,2.0,"理系学問,生物,植物"
植物の花のうち、花粉を作る器官を何というでしょう？,おしべ（雄しべ）,stamen。やく（花粉嚢）と花糸からなる。,理系学問,2.0,"理系学問,生物,植物"
卵子と精子が結合して一つの細胞になることを何というでしょう？,受精（じゅせい）,fertilization。受精卵は発生を開始し胚となる。,理系学問,2.0,"理系学問,生物,生殖"
生物の成長や傷の修復の際に行われる、分裂の前後で染色体の数が変わらない細胞分裂を何というでしょう？,体細胞分裂（たいさいぼうぶんれつ）,mitosis。染色体数が変わらない。成長・修復に関与。,理系学問,2.5,"理系学問,生物,細胞"
脊椎動物のうち、体が鱗で覆われ殻のある卵を陸上に産む、ヘビやトカゲなどが属する分類を何というでしょう？,爬虫類（はちゅうるい）,Reptilia。変温動物。恐竜も爬虫類。羊膜卵で陸上繁殖。,理系学問,2.0,"理系学問,生物,分類"
脊椎動物のうち、幼生期はエラで呼吸し、成体になると肺と皮膚で呼吸する、カエルやサンショウウオが属する分類を何というでしょう？,両生類（りょうせいるい）,Amphibia。変温動物。水中に卵を産む。変態する。,理系学問,2.0,"理系学問,生物,分類"
生態系において、植物を食べる草食動物を食べる肉食動物のように、食べる・食べられるの関係を鎖状につないだものを何というでしょう？,食物連鎖（しょくもつれんさ）,food chain。より複雑な関係は食物網（food web）。,理系学問,2.0,"理系学問,生物,生態"
化学反応の速度を上げる働きをする物質で、自身は反応の前後で変化しないものを何というでしょう？,触媒（しょくばい）,catalyst。生体内では酵素が触媒の役割。活性化エネルギーを下げる。,理系学問,2.5,"理系学問,化学,反応"
酸化と還元が同時に起こる反応を酸化還元反応といいますが、相手の物質から酸素を奪う反応を何というでしょう？,還元（かんげん）,reduction。電子を受け取る反応。酸化の逆。,理系学問,2.0,"理系学問,化学,反応"
塩化ナトリウムや砂糖のように、物質が水に溶けて均一に混ざった液体を何というでしょう？,水溶液（すいようえき）,aqueous solution。溶質＋溶媒＝溶液。透明で均一。,理系学問,2.0,"理系学問,化学,基礎"
水溶液の温度を下げたりして溶質が溶けきれなくなったとき、規則正しい形をして出てくる固体を何というでしょう？,結晶（けっしょう）,crystallization。再結晶で物質の精製ができる。温度を下げると溶解度が下がる。,理系学問,2.0,"理系学問,化学,基礎"
炭素を含む化合物を総称して何化合物というでしょう？,有機化合物（ゆうきかごうぶつ）,organic compound。炭素と水素を基本骨格とする。一部例外あり（CO₂、CO等）。,理系学問,2.0,"理系学問,化学,有機"
エタノールやメタノールなど、炭化水素の水素原子がヒドロキシ基（-OH）に置き換わった化合物の総称を何というでしょう？,アルコール,alcohol。メタノール（CH₃OH）は毒性あり。エタノール（C₂H₅OH）は飲用可。,理系学問,2.5,"理系学問,化学,有機"
物質の状態が固体から液体に変わることを融解というのに対し、液体から気体に変わることを何というでしょう？,気化（きか）,vaporization。蒸発（液面）と沸騰（液全体）がある。,理系学問,2.0,"理系学問,化学,状態変化"
空気中に約78%含まれ、最も多い割合を占める気体は何でしょう？,窒素（ちっそ）,nitrogen（N₂）。無色無臭。約78%。酸素は約21%。,理系学問,2.0,"理系学問,化学,気体"
原子番号1番で宇宙で最も豊富に存在する、最も軽い元素は何でしょう？,水素（すいそ）,hydrogen（H）。原子量約1。水素燃料電池の材料。,理系学問,2.0,"理系学問,化学,元素"
銅やアルミニウムのように電気や熱を通しやすく、展性・延性に富む物質を総称して何というでしょう？,金属（きんぞく）,metal。金属光沢・導電性・熱伝導性・展性延性が特徴。,理系学問,2.0,"理系学問,化学,物質"
1気圧のもとで水が沸騰する温度は摂氏何度でしょう？,100度（ひゃくど）,100℃。セルシウス温度の基準点。標高が高いと沸点が下がる。,理系学問,2.0,"理系学問,物理,熱"
熱の伝わり方のうち、物質が移動することなく物質の中を熱が伝わる方式を何というでしょう？,伝導（でんどう）,conduction。金属は熱伝導率が高い。断熱材は低い。,理系学問,2.0,"理系学問,物理,熱"
温度の単位で、絶対零度を0度とする温度体系を何というでしょう？,ケルビン（K）,kelvin。0K＝-273.15℃。熱力学温度。SI基本単位。,理系学問,2.5,"理系学問,物理,熱"
アインシュタインが1905年に発表した、質量とエネルギーの等価性を表す有名な式を何というでしょう？,E＝mc²（イーイコールエムシーじじょう）,特殊相対性理論の帰結。cは光速。核エネルギーの理論的根拠。,理系学問,2.5,"理系学問,物理,相対性理論"
ヒトの神経系の中枢である脳と脊髄をまとめて何というでしょう？,中枢神経（ちゅうすうしんけい）,central nervous system。情報の統合・処理を行う。末梢神経との対。,理系学問,2.0,"理系学問,生物,人体"
ヒトの体内で血液をろ過して尿を作る、ソラマメのような形をした臓器を何というでしょう？,腎臓（じんぞう）,kidney。左右一対。ネフロン（腎単位）が機能単位。老廃物を排出。,理系学問,2.0,"理系学問,生物,人体"
ヒトの目に入った光が像を結ぶ、目の奥にある薄い膜を何というでしょう？,網膜（もうまく）,retina。桿体細胞（明暗）と錐体細胞（色）がある。カメラのフィルムに相当。,理系学問,2.5,"理系学問,生物,人体"
体内に侵入した病原体に対して抗体を作り出し、同じ病原体が再び侵入した際に素早く排除する仕組みを何というでしょう？,免疫（めんえき）,immunity。自然免疫と獲得免疫。ワクチンは獲得免疫を利用。,理系学問,2.0,"理系学問,生物,人体"
月が太陽を隠して太陽が欠けて見える現象を何というでしょう？,日食（にっしょく）,solar eclipse。皆既日食・部分日食・金環日食がある。,理系学問,2.0,"理系学問,地学,天文"
地球が太陽のまわりを約365日かけて一周する運動を何というでしょう？,公転（こうてん）,revolution。公転面は黄道面。傾き約23.4°により四季が生じる。,理系学問,2.0,"理系学問,地学,天文"
地球が自転軸を中心に約24時間で1回転する運動を何というでしょう？,自転（じてん）,rotation。西から東へ回転。昼夜の変化を生む。,理系学問,2.0,"理系学問,地学,天文"
地球の大気中の二酸化炭素やメタンなどが地表からの赤外線を吸収して気温を保つ効果を何というでしょう？,温室効果（おんしつこうか）,greenhouse effect。なければ地球の平均気温は約-18℃。地球温暖化の原因。,理系学問,2.0,"理系学問,地学,環境"
地球の内部構造で、地殻とマントルの境界面を何というでしょう？,モホロビチッチ不連続面（モホめん）,Moho discontinuity。1909年にモホロビチッチが発見。地震波の速度変化から推定。,理系学問,3.0,"理系学問,地学,地球"
火山の噴火で空中に放出される、直径2mm以下の細かい粒子を何というでしょう？,火山灰（かざんばい）,volcanic ash。広範囲に拡散。農業や航空に影響。凝灰岩の材料。,理系学問,2.0,"理系学問,地学,火山"
固体が液体を経ずに直接気体になる状態変化を何というでしょう？,昇華（しょうか）,sublimation。ドライアイス（固体CO₂）→CO₂ガスが代表例。ナフタレンも。,理系学問,2.5,"理系学問,化学,状態変化"
