問題文	答え	メモ	ジャンル
京都三大祭りとは、5月の葵祭、7月の祇園祭と10月の何祭でしょう？	時代祭	完全な決まり字は「7」ですが、「5」が出た時点で日付順の可能性が高いので、ここで押すのもアリです。3つで1組のものは以下の記事でまとめています。	
火を神聖視することから「拝火教」とも呼ばれる、古代ペルシアを起源とする宗教は何でしょう？	ゾロアスター教	「火を神聖視」でほぼ確定です。有名問題ですので必ず押さえましょう！	
"「なぜ山に登るのか？」と聞かれて「そこに山があるから」と答えた逸話で知られるイギリスの登山家は誰でしょう？
"	ジョージ・マロリー	とても有名なベタ問です。「なぜ山/」くらいで押していいと思います！	
「芸術は爆発だ」の名言で知られる、『傷ましき腕』、『太陽の塔』などの代表作で知られる芸術家は誰でしょう？	岡本太郎	名言・作品ともに有名です。最初の名言の時点で確定で答えましょう！	
花札の10月の札で鹿がそっぽを向いていることが由来である、「無視すること」を表す言葉は何でしょう？	しかと	意外な言葉の由来は頻出問題です。「花札の10月で鹿」までだと、「もみじ」という答えもあり得ますのでご注意を・・・（鹿と一緒に描かれている植物は？という問題です。）	
ブダペストはハンガリーの首都ですが、ブカレストはどこの首都でしょう？	ルーマニア	"有名なパラレル問題です。ハンガリーを聞かれることもあるので、ちゃんと区別して覚えましょう！
クイズによく出る首都は以下の記事を参考にしてください！"	
追いつ追われつの試合のことを、ある遊具の名前を使って何というでしょう？	シーソーゲーム	「追いつ追われ」でほぼ確定です。「クロスゲーム」も同様の意味ですが、「遊具に例えて」が問題文に入ることがほとんどであまり答えになりません。	
タバコ、ジャガイモ、トマトはいずれも何科の植物でしょう？	ナス科	タバコがナス科であることはクイズ界では有名です。「トマト」より前で答えたい！	
医療器具の「AED」とは、何という日本語の略称でしょう？	自動体外式除細動器	「Automated External Defibrillator」の略称です。AEDに「」がついているので、略称を聞かれると予想できます。読み上げの際には「」部分は遅く読まれる傾向にあります。略語一覧の記事も参考にしてみてください。	
日本の本州を青森県から山口県まで陸路で縦断する時、どんなルートでも必ず通る都道府県はどこでしょう？	兵庫県	「青森県から」くらいで押せる問題です。日本地図を見るとたしかに兵庫は通らざるを得ません。	
