問題文	答え	メモ	ジャンル
「目には目を、歯には歯を」という一節でも知られる、紀元前1792年から1750年にバビロニアを統治したハンムラビ（ハムラビ）王が晩年に発布した法典はなんでしょう	ハンムラビ法典		
「おい！おまえら天国行くぞ！」という歌い出しで始まる、Vtuber兼イラストレーターのしぐれういが歌う楽曲はなんでしょう	ういこうせん		
サンスクリット語で「精霊の山」という意味がある、標高8163mで世界8位の高さを誇るネパールの山はなんでしょう	マナスル		
アドミラル・ガウス、キューティー・オイラー、ドクター・ピタゴラスといった個性的な悪役が登場する、学校教育から数学が排斥された日本でテロリスト達と戦う少女を描く、青柳碧人（あおやぎあいと）の小説はなんでしょう	浜村渚の計算ノート		
アメリカの映画「完全なるチェックメイト」の原題にもなっている、弱い手駒を犠牲にしてゲーム全体を有利に進めるチェス用語はなんでしょう。	ポーン・サクリファイス		
織田信長による美濃侵攻にあたって、木下藤吉郎がわずかな期間で築いたことから別名を一夜城とも呼ばれる、岐阜県大垣市にあった城はなんでしょう	墨俣城	墨俣一夜城	
「ヴォルーラ星人」と名乗る異星人が、『パックマン』『ギャラガ』『ドンキーコング』などといったゲームのキャラクターを実体化させ地球のゲーマー達と戦う、2015年公開の映画はなんでしょう	ピクセル		
深い友情を表す言葉で、廉頗（れんぱ）と藺相如（りんしょうじょ）の故事に由来する、たとえ首を切られても悔いないくらいの親しい交際を表す言葉は何？	刎頸の交わり	刎頸の友	
｢ビーックビックビックビッグバンアターック! ｣「きたねえ花火だ」「ベジータだ！」といったギャグがある、とあるドラゴンボールのキャラのモノマネをしながらネタを披露するピン芸人は誰でしょう	R藤本	"本名：藤本 博史（ふじもと ひろし）
（リアルジャムおじさん）藤本
RV（リアルベジータ）藤本
らっきょう"	
2025年本屋大賞で10位にランクインした、宮島未奈（みやじまみな）による小説「成瀬シリーズ」の第二作のタイトルは何でしょう	成瀬は信じた道を行く		
正式名には頭に「きゃろらいんちゃろんぷろっぷ」とつく、「つけまつける」「にんじゃりばんばん」とった楽曲で知られる歌手は誰でしょう。	きゃりーぱみゅぱみゅ		
アイスクリームやマッシュポテトをこの料理と同様の形状に整えたものも同じ名称で呼ばれる、「すり潰す」「砕く」といった意味がある、肉、魚などをすりつぶして、卵やルーをつなぎにして団子状に固めたフランス料理をなんというでしょう	クネル		
落ちものゲーム「テトリス」において簡単に高火力が出せるテンプレートとして人気の「ＤＴ砲」の「ＤＴ」とは、何という言葉の略でしょう	ダブルトリプル		
南アフリカ共和国フリーステイト州にある、現存する世界最大のクレーターはなんでしょう	プレデフォート・ドーム		
ある日、空からフワフワ飛んできたところを、カフェのお姉さんに見つけられ、そのままいっしょに住むことになった、白いこいぬの男のコであるサンリオのキャラクターはなんでしょう。	シナモロール		
その歌詞は中居正広（なかいまさひろ）のソロパート、「花屋の店先に並んだいろんな花をみていた人それぞれ好みはあるけどどれもみんなきれいだね」で始まる、SMAPの楽曲はなんでしょう。	世界に一つだけの花		
晩年はリウマチと戦いながらも死ぬ間際まで制作をつづけた、作品に「ピアノに寄る少女たち」「ブージヴァルのダンス」「ムーラン・ド・ラ・ギャレットの舞踏会」などがある印象派の画家は誰でしょう。	ピエール＝オーギュスト・ルノワール		
細胞内の「エネルギー生産工場」とも呼ばれる、細胞のエネルギー源であるATPを生成する役割を担う細胞小器官を何というでしょう	ミトコンドリア		
水球やアーティスティックスイミングで用いられる立ち泳ぎのうち、左右の足を交互に内側に円を描くように水を蹴る泳ぎ方を何というでしょう	巻き足	"×あおり足
×踏み足"	
漫画「ボボボーボ・ボーボボ」に登場するボボボーボ・ボーボボの毛の五兄弟のうち、毛狩り真拳とカミの毛真拳の二つを操り、ボボボーボ・ボーボボとブブブーブ・ブーブブを殺害したのは誰でしょう	ビビビービ・ビービビ		
ギリシャ神話では、息子のテセウスが死んだと勘違いしたアイゲウスが身を投げて死んだと言われる、バルカン半島とアナトリア半島に囲まれた入江状の海域はどこでしょう。	エーゲ海		
主人公の王冠には「ドンモヤイダ」という世界に一つしかない宝石がつけられている、どこかの国に住む、どこかの王さまが主人公の、寺村輝夫(てらむらてるお)による児童文学はなんでしょう	ぼくは王さま		
"1,1,2,5,15,52…と続く、n個のものを分割する場合の数のことをなんというでしょう。"	ベル数		
アメリカのプログラマーkayinによって開発された、主人公のKIDが、飛んでくる針や林檎を回避しながら進んでいく、VRChat並みに著作権がガバガバなフリーゲームはなんでしょう	I Wanna Be The Guy		
実際にはメンバーが他にも17人おり、そのなかからたまたま同じ２人が舞台に上がっている、という由来のコンビ名を持つ、松永 勝?（まつなが まさとし）とゆッちゃんｗの二人からなるお笑いコンビはなんでしょう。	十九人		
「大谷が結婚しても藤井くん負けても真顔のまんまの遺影」「お父さん万智やでとしか言えなくてやでってなんやと思う枕辺（まくらべ）」などの短歌が収められている、2025/7/30に第６１回『短歌研究賞』を受賞した、俵万智の短歌集のタイトルは何でしょう	白き父		
暗号方式は、秘密鍵以外の全てが公知になったとして、なお安全であるべきである。という原理を、それを提唱したオランダの言語学者の名前で何というでしょう。	ケルクホフスの原理		
ベガはベガでも、1993年のエリザベス女王杯でベガの牝馬（ひんば)三冠を阻止したベガはなんでしょう	ホクトベガ		
「目には目を、ハニワにはニーハオ」という名言でも知られる、THE IDOLM@STERに登場する双子の片割れで、シリーズによって亜美の姉だったり妹だったりするのは誰でしょう	双海真美	AC版では妹	
『論語』にある年齢の異称で、志学は15歳のことですが、而立は何歳のことでしょう	じりつ	"十五歳＝志学（しがく）
三十歳＝而立（じりつ）
四十歳＝不惑（ふわく）
五十歳＝知命（ちめい）
六十歳＝耳順（じじゅん）
七十歳＝従心（じゅうしん）"	
"私（わたくし）はその人を常に先生と呼んでいた。だからここでもただ先生と書くだけで本名は打ち明けない。
という書き出しで始まる、夏目漱石後期三部作の三作目のタイトルは何でしょう。"	こころ		
"―この世界の誰一人見たことのないものがある。
それは優しくて、とても甘い。
たぶん、見ることができたなら、誰もがそれを欲しがるはずだ。
だからこそ、誰もそれを見たことがない。
そう簡単には手に入らないように、世界はそれを隠したのだ。
だけどいつかは、誰かが見つける。
手に入れるべきたった一人がちゃんとそれを見つけられる。

そういうふうになっている。
というモノローグで始まる、高須竜児(たかすりゅうじ)と逢坂大河(あいさかたいが)の物語を描くライトノベルはなんでしょう"	とらドラ		
ランタンの原子番号、小倉百人一首における紫式部の歌番号、グロタンディーク素数に共通する数字はいくつでしょう	57		
NFLの2024年のルール改定によって、事前に申告してから実行しなければならなくなったアメフトの戦術で、キックオフの際にあえて短い距離にけることで、連続しての攻撃権獲得を狙うキックを何というでしょう。	オンサイドキック	"ビハインドチームのルールも追加
2025年のルール改定で4Qしばりはなくなった
また、成功率が6%だったことをうけてキック位置が調節された"	
「目には青葉　山ほととぎす　初鰹」という、季語が三つも入った句を読んだ江戸時代前期の俳人は誰でしょう。	山口素堂（やまぐちそどう）		
その名はギリシア神話にあるパルナッソス山に由来し、20世紀のエコール・ド・パリの時代の芸術家たちが集まった共同アトリエがあることでも知られる、セーヌ川近くに所在する地区はなんでしょう。	モンパルナス	共同アトリエ「ラ・リューシュ（蜂の巣）」	
「じゃらんぽ、がらんぽ、じゃらんぽ、がらんぽ」、「テレレッテ、プルルップ、トロロット、タッター」などといった独特の擬音が多く登場することでも知られる、どこかの国に住む、どこかの王さまが主人公の、寺村輝夫(てらむらてるお)による児童文学はなんでしょう	ぼくは王さま		
