問題文,答え,メモ,ジャンル,難易度,タグ
1791年にモーツァルトが作曲した、タミーノ王子とパパゲーノが活躍するオペラの代表作は何でしょう？,魔笛（まてき）,Die Zauberflöte。モーツァルト最後のオペラ。夜の女王のアリアが有名。,芸能,2.5,"芸能,音楽,クラシック"
「運命はこのように扉を叩く」という逸話で知られる、ベートーヴェンの交響曲第5番の通称は何でしょう？,運命（うんめい）,ハ短調。「ジャジャジャジャーン」の冒頭が有名。1808年初演。,芸能,2.0,"芸能,音楽,クラシック"
「新世界より」の副題で知られる交響曲第9番を作曲した、チェコの作曲家は誰でしょう？,ドヴォルザーク,Antonín Dvořák。アメリカ滞在中に作曲。第2楽章「家路」が有名。,芸能,2.0,"芸能,音楽,クラシック"
「四季」や「調和の霊感」などの協奏曲で知られる、バロック時代を代表するイタリアの作曲家は誰でしょう？,ヴィヴァルディ,Antonio Vivaldi。赤毛の司祭。ヴァイオリン協奏曲集が代表作。,芸能,2.0,"芸能,音楽,クラシック"
日本語では「小さな夜の曲」と訳される、モーツァルト作曲のセレナーデ第13番の通称をドイツ語で何というでしょう？,アイネ・クライネ・ナハトムジーク,Eine kleine Nachtmusik。K.525。1787年作曲。,芸能,2.5,"芸能,音楽,クラシック"
バレエ組曲「くるみ割り人形」「白鳥の湖」「眠れる森の美女」の3大バレエ音楽を作曲したロシアの作曲家は誰でしょう？,チャイコフスキー,Pyotr Ilyich Tchaikovsky。交響曲第6番「悲愴」も代表作。,芸能,2.0,"芸能,音楽,クラシック"
オーケストラの指揮者が使う、振って拍子をとるための細い棒を何というでしょう？,指揮棒（しきぼう）,baton（バトン）。タクトとも。素手で指揮する指揮者もいる。,芸能,2.0,"芸能,音楽,楽器"
ギターやバイオリンなどの弦楽器で、弦を指で弾いて音を出す奏法をイタリア語で何というでしょう？,ピチカート,pizzicato。弓で弾くアルコの対義語。,芸能,2.5,"芸能,音楽,楽器"
1枚のリードを用いて音を出す木管楽器で、ジャズやクラシックで広く使われる、ベルギーのアドルフ・サックスが発明した楽器は何でしょう？,サクソフォン,saxophone。1840年代に発明。ソプラノ・アルト・テナー・バリトンなど。,芸能,2.0,"芸能,音楽,楽器"
音楽用語で、曲の速さを示す「幅広く」を意味するイタリア語のテンポ記号は何でしょう？,ラルゴ,largo。最も遅いテンポの一つ。アダージョより遅い。,芸能,3.0,"芸能,音楽,用語"
演奏会やコンサートで、プログラム終了後に観客が拍手で「もう一度」と演奏を求めることを、フランス語由来の言葉で何というでしょう？,アンコール,encore。フランス語で「もう一度」の意。カーテンコールとは別。,芸能,2.0,"芸能,音楽,用語"
1994年に公開された、トム・ハンクスが知的障害を持つ主人公を演じてアカデミー主演男優賞を受賞した映画は何でしょう？,フォレスト・ガンプ／一期一会,Forrest Gump。ロバート・ゼメキス監督。アカデミー作品賞も受賞。,芸能,2.0,"芸能,映画,アメリカ"
1997年に公開され世界的に大ヒットした、レオナルド・ディカプリオ主演の沈没する豪華客船を舞台にした映画は何でしょう？,タイタニック,Titanic。ジェームズ・キャメロン監督。アカデミー作品賞含む11部門受賞。,芸能,2.0,"芸能,映画,アメリカ"
「私がお前の父だ」という台詞や、ライトセーバー・フォースといった要素で知られる、ジョージ・ルーカスが生み出したSF映画シリーズは何でしょう？,スター・ウォーズ,Star Wars。1977年公開。ライトセーバー・フォースなどが象徴。,芸能,2.0,"芸能,映画,アメリカ"
2001年に公開された、千尋という少女が神々の世界に迷い込む、宮崎駿監督のアニメ映画は何でしょう？,千と千尋の神隠し,スタジオジブリ作品。アカデミー長編アニメ映画賞受賞。日本歴代興行収入1位（当時）。,芸能,2.0,"芸能,映画,日本"
アカデミー賞の授賞式が毎年行われるアメリカの都市はどこでしょう？,ロサンゼルス,Los Angeles。ハリウッドのドルビー・シアター（旧コダック・シアター）で開催。,芸能,2.0,"芸能,映画,賞"
映画やドラマの撮影で、監督が撮影開始の合図として言う英語の掛け声は何でしょう？,アクション,Action!。撮影終了は「カット（Cut!）」。,芸能,2.0,"芸能,映画,用語"
映画の終わりに流れる、出演者やスタッフの名前が下から上にスクロールする表示を何というでしょう？,エンドロール,end credits。エンドクレジットとも。スタッフロールとも呼ばれる。,芸能,2.0,"芸能,映画,用語"
黒澤明監督の代表作で、戦国時代に農民が7人の侍を雇って野武士から村を守る、1954年公開の映画は何でしょう？,七人の侍（しちにんのさむらい）,Seven Samurai。三船敏郎・志村喬主演。世界映画に多大な影響。,芸能,2.0,"芸能,映画,日本"
「E.T.」「ジョーズ」「シンドラーのリスト」などの作品で知られる、アメリカを代表する映画監督は誰でしょう？,スティーヴン・スピルバーグ,Steven Spielberg。アカデミー監督賞2回受賞。ドリームワークス共同設立。,芸能,2.0,"芸能,映画,アメリカ"
歌舞伎の創始者とされる、江戸時代初期に京都で「かぶき踊り」を始めた女性は誰でしょう？,出雲阿国（いずものおくに）,出雲大社の巫女とされる。1603年頃に北野天満宮で興行。,芸能,2.0,"芸能,伝統芸能,歌舞伎"
歌舞伎の舞台で、客席を貫いて舞台に通じる細い通路を何というでしょう？,花道（はなみち）,役者の登場・退場に使用。「揚幕」から出入り。歌舞伎独特の演出空間。,芸能,2.0,"芸能,伝統芸能,歌舞伎"
能楽の主人公を演じる役者を「シテ」というのに対し、シテの相手役を何というでしょう？,ワキ,脇方。シテに問いかけ物語を引き出す役割。ワキ座に座る。,芸能,2.5,"芸能,伝統芸能,能"
落語で、話の最後に聞き手を笑わせる締めの言葉を何というでしょう？,オチ（サゲ）,落ちとも書く。地口落ち・逆さ落ち・考え落ちなど種類がある。,芸能,2.0,"芸能,伝統芸能,落語"
人形浄瑠璃で、一体の人形を3人の人形遣いが操る技法を何というでしょう？,三人遣い（さんにんづかい）,主遣い（頭・右手）・左遣い・足遣いの3人。文楽の特徴的技法。,芸能,2.5,"芸能,伝統芸能,文楽"
