問題文,答え,メモ,ジャンル,難易度,タグ
"日本三大祭りとは、京都の祇園祭、東京の神田祭と、大阪の何祭でしょう？",天神祭,日本三大祭りの一つです,社会,2.0,"社会, 祭り, 大阪"
"世界三大料理とは、フランス料理、中華料理と、あと一つは何料理でしょう？",トルコ料理,世界三大料理の一つです,ライフスタイル,2.5,"ライフスタイル, 料理, 世界"
"日本の三大都市とは、東京、大阪と、あと一つはどこでしょう？",名古屋,日本の主要都市です,社会,1.8,"社会, 都市, 地理"
"御三家と呼ばれる徳川家の分家は、水戸徳川家、尾張徳川家と、あと一つは何徳川家でしょう？",紀伊徳川家,江戸時代の徳川御三家です,文系学問,2.8,"文系学問, 江戸時代, 徳川"
"ドラえもんの道具で、どこでもドア、タケコプターと並んで有名な、食べると何でも翻訳してくれる道具は何でしょう？",ほんやくコンニャク,ドラえもんの定番道具です,アニメ&ゲーム,1.5,"アニメ&ゲーム, ドラえもん, 道具"
"童話「桃太郎」で、桃太郎が鬼ヶ島に連れて行った動物は、犬、猿と、あと一匹は何でしょう？",キジ,昔話の定番キャラクターです,文系学問,1.2,"文系学問, 童話, 動物"
"日本のプロ野球で、読売ジャイアンツ、阪神タイガースと並んで人気球団として知られる、広島を本拠地とするチームは何でしょう？",広島東洋カープ,セ・リーグの人気球団です,スポーツ,1.8,"スポーツ, 野球, 広島"
"三大栄養素とは、炭水化物、脂質と、あと一つは何でしょう？",タンパク質,基本的な栄養の知識です,理系学問,1.5,"理系学問, 栄養, 生物"
"スタジオジブリの長編アニメ映画で、「となりのトトロ」「魔女の宅急便」と並んで人気の高い、湯屋を舞台にした作品は何でしょう？",千と千尋の神隠し,ジブリの代表作の一つです,アニメ&ゲーム,1.8,"アニメ&ゲーム, ジブリ, 映画"
"日本の三権分立とは、立法権、行政権と、あと一つは何でしょう？",司法権,中学校で習う政治の基礎です,社会,1.8,"社会, 政治, 三権分立"
"SMAPのメンバーで、中居正広、木村拓哉、稲垣吾郎、草なぎ剛と、あと一人は誰でしょう？",香取慎吾,国民的アイドルグループでした,芸能,2.2,"芸能, SMAP, アイドル"
"光の三原色とは、赤、緑と、あと一つは何でしょう？",青,物理の基礎知識です,理系学問,2.0,"理系学問, 物理, 色"
"東海道五十三次で、出発地の日本橋、到着地の三条大橋があるのは、それぞれ江戸と何でしょう？",京都,江戸時代の主要街道です,文系学問,2.5,"文系学問, 江戸時代, 街道"
"じゃんけんの手は、グー、チョキと、あと一つは何でしょう？",パー,子供でも知っている基本的なゲームです,ライフスタイル,1.0,"ライフスタイル, ゲーム, 基本"
"信号機の色は、赤、黄色と、あと一つは何色でしょう？",青,交通ルールの基本です,社会,1.2,"社会, 交通, 色"
"アンパンマンの仲間で、食パンマン、カレーパンマンと並んで人気のキャラクターで、メロンが好物なのは誰でしょう？",メロンパンナ,アンパンマンの人気キャラクターです,アニメ&ゲーム,1.8,"アニメ&ゲーム, アンパンマン, キャラクター"
"日本のお正月料理であるおせち料理で、「まめに働く」という意味で入れられる豆料理は何でしょう？",黒豆,お正月の定番料理です,ライフスタイル,2.0,"ライフスタイル, 正月, 料理"
"野球で、ピッチャー、キャッチャーと並んで内野手と呼ばれるポジションは、ファースト、セカンド、サードと、あと一つは何でしょう？",ショート,野球の基本ポジションです,スポーツ,1.8,"スポーツ, 野球, ポジション"
"日本の四季は、春、夏、秋と、あと一つは何でしょう？",冬,季節の基本知識です,ライフスタイル,1.0,"ライフスタイル, 季節, 基本"
"ポケモンで、御三家と呼ばれる最初のポケモンは、フシギダネ、ヒトカゲと、あと一匹は何でしょう？",ゼニガメ,初代ポケモンの御三家です,アニメ&ゲーム,1.5,"アニメ&ゲーム, ポケモン, 御三家"
"日本の国技である相撲で、東の横綱、西の横綱がいる最高位の地位を何と呼ぶでしょう？",横綱,相撲の最高位です,スポーツ,2.2,"スポーツ, 相撲, 地位"
"童謡「チューリップ」の歌詞で、「赤、白、黄色」と歌われる花は何でしょう？",チューリップ,有名な童謡の歌詞です,文系学問,1.2,"文系学問, 童謡, 花"
"日本で一番高い山は富士山ですが、二番目に高い山は何でしょう？",北岳,日本の山の基礎知識です,社会,2.8,"社会, 山, 地理"
"トランプのマークで、ハート、ダイヤ、クラブと、あと一つは何でしょう？",スペード,トランプの基本知識です,ライフスタイル,1.5,"ライフスタイル, トランプ, マーク"
"日本の都道府県で、面積が一番大きい北海道、二番目の岩手県に続いて、三番目に大きいのは何県でしょう？",福島県,日本の地理の基礎です,社会,3.0,"社会, 都道府県, 面積"
"東京ディズニーランドにあるアトラクションで、「イッツ・ア・スモールワールド」「カリブの海賊」と並んで人気の、お化け屋敷タイプのアトラクションは何でしょう？",ホーンテッドマンション,ディズニーランドの定番アトラクションです,アニメ&ゲーム,2.0,"アニメ&ゲーム, ディズニー, アトラクション"
"料理の「さしすせそ」で、「さ」は砂糖、「し」は塩、「す」は酢、「せ」は醤油、「そ」は何でしょう？",味噌,料理の基本調味料です,ライフスタイル,1.8,"ライフスタイル, 料理, 調味料"
"歴代内閣総理大臣で、「角さん」の愛称で親しまれた田中角栄、「康ちゃん」と呼ばれた竹下登と並んで、「おっちゃん」の愛称で知られたのは誰でしょう？",橋本龍太郎,政治家の愛称で親しまれました,社会,2.5,"社会, 政治家, 愛称"
"ことわざで、「石の上にも」と続くのは何年でしょう？",三年,忍耐を表すことわざです,文系学問,1.5,"文系学問, ことわざ, 数字"
"日本のテレビ局で、NHK、日本テレビ、TBSと並んで在京キー局として知られる、目玉マークで有名な局はどこでしょう？",フジテレビ,在京キー局の一つです,芸能,2.0,"芸能, テレビ局, マーク"
"童話「三匹のこぶた」で、こぶたたちが家を建てる材料は、わら、木と、あと一つは何でしょう？",レンガ,有名な童話の材料です,文系学問,1.2,"文系学問, 童話, 材料"
"日本の硬貨で、1円玉、5円玉、10円玉、50円玉、100円玉と、あと一つは何円玉でしょう？",500円玉,日本の通貨の基礎知識です,社会,1.5,"社会, 通貨, 硬貨"
"映画「スター・ウォーズ」の主人公で、ルーク・スカイウォーカーの父親として知られる、黒いマスクをつけたキャラクターは誰でしょう？",ダース・ベイダー,スター・ウォーズの代表的キャラクターです,アニメ&ゲーム,1.8,"アニメ&ゲーム, 映画, スター・ウォーズ"
"将棋で、王将を除く駒で、金将、銀将、桂馬、香車と、あと一つは何でしょう？",飛車,将棋の基本駒です,スポーツ,2.2,"スポーツ, 将棋, 駒"
