問題文,答え,メモ,ジャンル,難易度,タグ
"共に捜査していた相棒が第一発見者の兄かつ犯人であるという衝撃的な事実が話題を呼んだ、神戸を舞台にサラ金会社の社長が殺害された事件を主人公が相棒の「ヤス」とともに捜査するアドベンチャーゲームはなんでしょう？","ポートピア連続殺人事件","「犯人はヤス」の元ネタは堀井雄二作のポートピア連続殺人事件（1983年）。助手のヤスが真犯人というネタバレがファミコン版（1985年）で広まりミームとなった","エンターテインメント","難","エンターテインメント, ネタバレ, ゲーム, ネットミーム"
"遊☆戯☆王デュエルモンスターズのバトルシティ準決勝において、闇マリクとのデュエル中に意識を失って倒れ込む衝撃的な場面が描かれたため「死んだ」という誤情報がネット上に広まったが、実際には生存していた、主人公・武藤遊戯の親友キャラクターは誰でしょう？","城之内克也","遊戯王DM終盤のネタバレが一人歩きしたミーム。城之内克也はDMでは生存するが「城之内死す」というフレーズが定着した","エンターテインメント","中","エンターテインメント, ネタバレ, アニメ, ネットミーム"
"映画「スター・ウォーズ エピソード5 帝国の逆襲」（1980年）で、ベスピンの雲の都でのライトセーバー戦においてルーク・スカイウォーカーの右手を切り落とし、「私はお前の父だ」と告げることで映画史に残る衝撃の事実を明かした帝国軍の暗黒卿は誰でしょう？","ダース・ベイダー","映画史上最も有名などんでん返しの一つ。ダース・ベイダーがルークの父であることが判明するシーン","エンターテインメント","中","エンターテインメント, ネタバレ, 映画, SF"
"「死んだ人が見える」とつぶやく少年の担当医として登場し物語を通じて少年に寄り添う主人公が、実は冒頭で患者に銃撃され死亡していた幽霊だったという衝撃のどんでん返しで知られる、1999年公開のM・ナイト・シャマラン監督作品はなんでしょう？","シックス・センス","M・ナイト・シャマラン監督。ブルース・ウィリス演じるマルコム医師が実は冒頭で射殺されていた幽霊だったというどんでん返し","エンターテインメント","中","エンターテインメント, ネタバレ, 映画, ホラー"
"映画「ファイト・クラブ」（1999年）において、内気な語り手の「僕」の前に現れてファイトクラブを共に立ち上げたカリスマ的人物だが、終盤に「僕」自身の解離性同一性障害による別人格だったことが明かされるキャラクターは誰でしょう？","タイラー・ダーデン","デヴィッド・フィンチャー監督。ブラッド・ピット演じるタイラーはエドワード・ノートン演じる主人公の解離性同一性障害による別人格","エンターテインメント","中","エンターテインメント, ネタバレ, 映画, サスペンス"
"警察の取調べで伝説の凶悪犯「カイザー・ソゼ」について淡々と証言し続けた足の不自由な男が、実はソゼ本人だったことがラストシーンで明かされる、1995年公開のブライアン・シンガー監督によるサスペンス映画は何でしょう？","ユージュアル・サスペクツ","ブライアン・シンガー監督。ケヴィン・スペイシー演じる足の不自由な証人が実はカイザー・ソゼだったというどんでん返し。アカデミー脚本賞受賞","エンターテインメント","難","エンターテインメント, ネタバレ, 映画, サスペンス"
"「犯人は全員だった」という衝撃の結末で有名な、アガサ・クリスティが1934年に発表した世界的ベストセラーのミステリー小説は何でしょう？","オリエント急行殺人事件","12人の乗客全員が共謀して被害者を刺したという結末。世界三大ミステリーの一つとも言われる","エンターテインメント","中","エンターテインメント, ネタバレ, 小説, ミステリー"
"松本清張の小説「砂の器」において、かつてハンセン病を患う父とともに放浪していた自分を助けてくれた恩人・三木謙一を、過去を隠すために殺害した犯人は誰でしょう？","和賀英良（わがえいりょう）","松本清張の名作。過去を隠すため恩人を殺した犯人の悲劇。映画版（1974年、野村芳太郎監督）は日本映画史の傑作","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, ドラマ"
"東野圭吾の小説「白夜行」において、幼いころに雪穂を父の性的虐待から守るために実の父・桐原弥生司を殺し、以来その罪を雪穂とともに抱えながら生きてきた人物は誰でしょう？","桐原亮司（きりはらりょうじ）","東野圭吾の代表作。1980年に起きた質屋殺人事件の真相が二人の生涯を通じて解き明かされる構造","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, ミステリー"
"小説・映画「告白」（湊かなえ原作）において、娘アイコを殺した生徒への復讐として教師・森口悠子が牛乳パックに混入したものは何でしょう？","HIV感染者（夫）の血液","湊かなえのデビュー作。冒頭の告白シーンで牛乳にHIV陽性者の血を混ぜたと教師が語るインパクトから始まる","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, 映画"
"漫画「ONE PIECE」において、「火拳のエース」ことポートガス・D・エースの実の父として明かされた、海賊王の称号を持つ人物は誰でしょう？","ゴール・D・ロジャー（ゴールド・ロジャー）","エースの実の父は海賊王ロジャー。母ポートガス・D・ルージュが20ヶ月間お腹の中で育て続けた","エンターテインメント","中","エンターテインメント, ネタバレ, 漫画, ワンピース"
"漫画・アニメ「鬼滅の刃」において、縁壱と同じく日の呼吸の習得を目指したが果たせず、その劣等感と嫉妬から鬼無辻無惨の元で鬼となり、上弦の壱「黒死牟」として炭治郎たちの前に立ちはだかった縁壱の双子の兄は誰でしょう？","継国巌勝（つぐくにみちかつ）","上弦の壱・黒死牟の正体は縁壱の双子の兄。日の呼吸を習得できなかった劣等感と嫉妬から鬼・無惨に頼り鬼となった","エンターテインメント","難","エンターテインメント, ネタバレ, 漫画, 鬼滅の刃"
"漫画「進撃の巨人」において、主人公エレン・イェーガーの異母兄として後に明かされる「獣の巨人」の継承者は誰でしょう？","ジーク・イェーガー","ジーク・イェーガーはエレンの異母兄。父グリシャが最初の妻ダイナとの間にジークをもうけ、後にカルラとの間にエレンが生まれた","エンターテインメント","難","エンターテインメント, ネタバレ, 漫画, 進撃の巨人"
"アニメ・漫画「魔法少女まどか☆マギカ」において、序盤に愛くるしいマスコットキャラクターとして登場しながらも実は感情のない宇宙人で少女たちを利用していた真の姿が明かされるキャラクターは誰でしょう？","キュゥべえ（インキュベーター）","可愛らしい外見とは裏腹に感情を持たない宇宙人。少女たちの絶望エネルギーを宇宙のエントロピー増大対策に利用していた","エンターテインメント","中","エンターテインメント, ネタバレ, アニメ, まどマギ"
"漫画「DEATH NOTE」において、ライト・夜神月にミサへの愛情を逆手に取られて利用された死神レムが、ミサを守るためにデスノートに本名を書いて死亡させた世界的名探偵は誰でしょう？","L（エル）","ライトはレムのミサへの愛情を逆手に取り、レムがミサを守るためにLをノートで殺すよう誘導した","エンターテインメント","難","エンターテインメント, ネタバレ, 漫画, DEATHNOTE"
"漫画「鋼の錬金術師」において、エドワード・エルリックが幼少期に錬金術の禁忌「人体錬成」を行ったのは、亡くなった誰を蘇らせようとしたからでしょう？","母・トリシャ・エルリック","病死した母を蘇らせた代償としてエドは左足と右腕を、アルは全身を失った","エンターテインメント","中","エンターテインメント, ネタバレ, 漫画, 鋼の錬金術師"
"漫画・アニメ「SPY×FAMILY」において、フォージャー家では父ロイドがスパイ、母ヨルが暗殺者という秘密を抱えていますが、家族に容身した末っ子・娘アーニャが隠している超能力は何でしょう？","テレパス（人の心を読める超能力者）","父ロイドはスパイ、母ヨルは暗殺者、娘アーニャはテレパス。全員が秘密を持ちながらも本物の家族になっていく","エンターテインメント","中","エンターテインメント, ネタバレ, 漫画, アニメ"
"ゲーム「UNDERTALE」のジェノサイドルートで全モンスターを倒し続けた最後に登場する、ゲーム開始時に主人公に付けた名前そのものが人格として現れるキャラクターとは誰でしょう？","チャラ（CHARA）","プレイヤーが最初に入力した名前がCHARAとして現れる。ジェノサイドルートのラストで世界を滅ぼすことを提案してくる","エンターテインメント","難","エンターテインメント, ネタバレ, ゲーム, UNDERTALE"
"ゲーム「逆転裁判」（初代）の最終話「逆転、そしてサヨナラ」において、主人公・成歩堂龍一の師匠・綾里千尋を15年前に殺した真犯人として明かされた検察官は誰でしょう？","狩魔豪（かるまごう）","初代逆転裁判最終話の真犯人は敵役の検察官・狩魔豪。15年前の少女誘拐殺人事件と千尋の死が繋がる構造","エンターテインメント","難","エンターテインメント, ネタバレ, ゲーム, 逆転裁判"
"ドラマ「半沢直樹」（2013年・TBS系）において、大和田常務への「倍返し」として土下座を要求した半沢直樹ですが、最終的に大和田常務が受けた処分は何でしょう？","常務から平取締役への降格","池井戸潤原作。視聴率40%超を記録した名作。ただし半沢自身も東京中央銀行からの出向という苦い結末に","エンターテインメント","難","エンターテインメント, ネタバレ, ドラマ, 半沢直樹"
"映画「ジョーカー」（2019年）のラストシーンで、精神病院の廈下を歩くアーサーが「ジョークを思いついた」と笑い出しますが、そのジョークの内容は深夕にされたまま終わりました。アーサーがそのジョークを「あなたにはわからない」と述べた相手は誰でしょう？","担当の精神科医（スーパーバイザー）","ホアキン・フェニックス主演。ラストシーンのジョークは意図的に明かされず観客の解釈に委ねられる終わり方","エンターテインメント","難","エンターテインメント, ネタバレ, 映画, ジョーカー"
"映画「タイタニック」（1997年）において、ローズと共に「世界の王様」と叫んだジャックは、船が沈む際にどのようにして最期を迎えるでしょう？","ローズを浮遙物の板に乗せ、自分は海中で低体温症により死亡","ジェームズ・キャメロン監督。「板は二人分の浮力があったのでは？」という議論でも知られる有名なラストシーン","エンターテインメント","中","エンターテインメント, ネタバレ, 映画, ラブロマンス"
"「ネタバレ」という言葉において、「ネタ」はマジック・演芸業界の「タネ（仕掛け）」を逆さにした隠語ですが、「バレ」はどんな意味で使われているでしょう？","（仕掛けが）バレる・露見する","「ネタ」は「タネ（種・仕掛け）」の逆さ語。マジックや芸能の業界用語が一般化した","文系学問","中","生活, ネタバレ, 語源, 日本語"
"欧米圏でネタバレを意味する「SPOILER（スポイラー）」という英単語の元となる動詞「spoil」には、どんな意味があるでしょう？","台無しにする・損なう（食べ物が腐る、の意味も）","spoilは「食べ物が腐る」「楽しみを台無しにする」の意。ここから映画・本の楽しみを台無しにする情報＝spoilerとなった","文系学問","中","生活, ネタバレ, 語源, 英語"
"2019年の映画「アベンジャーズ：エンドゲーム」公開前にルッソ兄弟監督がSNSで発信したネタバレ禁止を呼びかける書簡のキャッチフレーズは何でしょう？","Don't Spoil the Endgame","ルッソ兄弟監督がTwitterに投稿した公開書簡。「Don't Spoil the Endgame」として世界中のMCUファンに共有された","エンターテインメント","難","エンターテインメント, ネタバレ, 映画, マーベル"
"宮崎駿監督のアニメ映画「天空の城ラピュタ」（1986年）において、パズーとシータが城を崩壊させるために唱える「滅びの言葉」とはどんな呪文でしょう？","バルス","テレビ放映のたびに視聴者がTwitterで「バルス」と一斉投稿する文化が生まれ、繰り返しTwitterのサーバーを落とした","エンターテインメント","易","エンターテインメント, ネタバレ, 映画, アニメーション"
"映画「もののけ姫」（1997年）において、アシタカへの想いを抱えながらもサンが最終的に告げた「2人の未来」とは何でしょう？","共には生きられない（それぞれの場所で生きていく）","宮崎駿監督作。ハッピーエンドではなく「それぞれの場所で生きていく」という結末が当時話題を呼んだ","エンターテインメント","難","エンターテインメント, ネタバレ, 映画, アニメーション"
"漫画・アニメ「HUNTER×HUNTER」のグリードアイランド編において、「爆弾魔（ボマー）」として恐れられていたゲンスルーは、実際には何人組のグループだったでしょう？","3人組（ゲンスルー・サブ・マラヤーム）","ゲンスルー・サブ・マラヤームの3人組が爆弾魔の正体。「告白の時間」を使い標的を爆殺する能力を持つ","エンターテインメント","難","エンターテインメント, ネタバレ, 漫画, HUNTERHUNTER"
"漫画「名探偵コナン」において、主人公・工藤新一が幼児化するきっかけとなった薬「APTX4869」を強制的に飲ませた、黒の組織の幹部コンビのコードネームは何でしょう？","ジンとウォッカ","第1話から登場する黒の組織の主要メンバー。ジンとウォッカが新一にAPTX4869を飲ませたことで物語が始まる","エンターテインメント","中","エンターテインメント, ネタバレ, 漫画, 名探偵コナン"
"映画「オペラ座の怪人」（アンドリュー・ロイド・ウェバーのミュージカル映画版）において、怪人が仮面で隠し続けている真相とは何でしょう？","顔の半分が生まれつき醜く変形している","ガストン・ルルーの小説が原作。怪人は生まれつき顔が変形しオペラ座の地下に潜んで生きている","エンターテインメント","中","エンターテインメント, ネタバレ, 映画, ミュージカル"
"芥川龍之介の短編「蜘蛛の糸」において、釈迦が地獄から救おうとした大泥棒・カンダタに蜘蛛の糸を垂らしたものの、途中で糸が切れて再び地獄に落ちてしまったのはなぜでしょう？","後から登れてきた他の罪人を蹴落とそうとしたから","芥川龍之介の代表的な短編。利己心が自らを救う機会を失わせるというテーマ。小学校の道徳でも読まれる作品","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, 常識ネタバレ"
"宮沢賢治の短編「注文の多い料理店」において、「髪をとかしてください」「クリームを塗ってください」「塩を振ってください」などと書かれた料理店の「注文」は、実は客に何をさせるためのものだったでしょう？","客自身を料理して食べるための下準備","宮沢賢治の代表的な短編。料理店の正体は山猫が経営する店で「注文の多い料理店」とは客を食べるための店という逆転構造","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, 常識ネタバレ"
"芥川龍之介の短編「羅生門」において、「盗人になるしかない」と心を決めた下人が最後にとった行動は何でしょう？","老婆の着物を剥ぎ取って夜の闇に逃げ去った","芥川の処女作に近い短編。老婆の悪への開き直りを聞いた下人が逆に老婆を被害者にして逃げるという皮肉なラスト","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, 常識ネタバレ"
"小泉八雲（ラフカディオ・ハーン）の怪談「雪女」において、雪の夜に出会った雪女と約束を交わした若者・巳之吉が後に結婚した妻ゆきは、実は何者だったでしょう？","あの夜の雪女本人","小泉八雲「怪談」収録の一編。子どもが生まれ穏やかに暮らしていた巳之吉が過去の出来事を妻に話したため雪女の正体が明かされる","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, 常識ネタバレ"
"宮沢賢治の小説「銀河鉄道の夜」において、ジョバンニの親友・カンパネルラが銀河鉄道に乗っていた理由として、地上で何が起きていたことがラストで明かされるでしょう？","友達ザネリを助けようとして川に落ち、溺死していた","宮沢賢治の代表作。カンパネルラは実は死んで天国へ旅立つ途中だったという切ないどんでん返し","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, 常識ネタバレ"
"グリム童話「ラプンツェル」において、魔女に塔へ幽閉されていたラプンツェルに恋した王子は、魔女に発見されたとき何をされてしまったでしょう？","いばらの茂みに突き落とされて両目を失明した","ディズニー映画「塔の上のラプンツェル」では描かれないグリム原作の残酷なシーン。後にラプンツェルの涙が王子の目を癒す","エンターテインメント","難","エンターテインメント, ネタバレ, 童話, 常識ネタバレ"
"芥川龍之介の短編「藪の中」において、武士が殺された事件について盗賊・妻・武士の霊の三者がそれぞれ異なる証言をしていますが、真相はどのように描かれているでしょう？","真相は最後まで明かされない（誰の証言が正しいかわからないまま終わる）","「藪の中」という言葉が「真相不明」の慣用句になった由来の作品。黒澤明映画「羅生門」の原作のひとつ","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, 常識ネタバレ"
"怪談「耳なし芳一」において、盲目の琵琶法師・芳一が幽霊たちに取り殺されないよう和尚が対策として全身に経文を書きましたが、それでも幽霊に耳を持っていかれた理由は何でしょう？","耳だけ経文を書き忘れていたから","小泉八雲「怪談」収録の一編。書き忘れた耳だけを幽霊に持っていかれたという落としどころが秀逸","エンターテインメント","難","エンターテインメント, ネタバレ, 小説, 常識ネタバレ"
"シャルル・ペロー作の童話「青ひげ」において、夫から「この扉だけは絶対に開けてはいけない」と言われていた妻が禁じられた部屋を開けてしまったとき、中には何があったでしょう？","青ひげが殺した歴代の妻たちの遺体","ペローの童話集に収録された大人向けの恐ろしい童話。「開けてはいけない部屋」モチーフの原型のひとつ","エンターテインメント","難","エンターテインメント, ネタバレ, 童話, 常識ネタバレ"
"グリム童話「ルンペルシュティルツキン」において、王妃が子どもを渡さないために小人との賭けに勝つためには何が必要で、使者が偶然それを突き止めたことで小人はどうなったでしょう？","小人の名前（ルンペルシュティルツキン）を言い当てられ、怒りのあまり地面に踏み込んで二つに裂けて死んだ","グリム童話の一編。麻を金に変える代わりに子どもを要求した小人の名前を当てるという賭けの結末","エンターテインメント","難","エンターテインメント, ネタバレ, 童話, 常識ネタバレ"
"古典落語「まんじゅうこわい」において、仲間に「世の中で一番怖いもの」を語らせ、まんじゅうが怖いと嘘をついた男が饅頭を山ほど食べつくした後、最後に「今怖いものがある」と言った怖いものとは何でしょう？","お茶（濃いお茶が怖い）","落語の代表的なオチ。饅頭を食べた後にお茶で流し込みたいという本音をオチにした一席。「怖い怖い」と言いながら饅頭を平らげる様子が滑稽","エンターテインメント","難","エンターテインメント, ネタバレ, 落語, 古典落語"
"古典落語「時そば」において、天才的な口上でそば代十六文のうち八文をごまかした男の手口を翌日真似た男が、逆に余計に払う羽目になってしまったのはなぜでしょう？","真似をしたのが深夜で「今何時？」と聞いたら「四つ（午前2時頃）」と答えられ、四から数え直してしまい余計に払ってしまったから","「今何時？」と途中で聞いて勘定の数を飛ばすのが手口。元の男は「九つ（午前0時頃）」と答えられ9から数えて得をしたが、真似した男は時刻が悪かった","エンターテインメント","難","エンターテインメント, ネタバレ, 落語, 古典落語"
"古典落語「寿限無（じゅげむ）」において、ご隠居に縁起の良い名前を全部つなげてもらった子どもが友達に頭を叩かれた際、親が急いでご隠居へその名前を報告しに行ったとき、たんこぶはどうなっていたでしょう？","名前を言い終わるころには、もうとっくに引いていた（消えていた）","「じゅげむじゅげむ ごこうのすりきれ かいじゃりすいぎょの…」と続く長い名前が有名。名前が長すぎることで起きる笑いのオチ","エンターテインメント","中","エンターテインメント, ネタバレ, 落語, 古典落語"
"1335年に信濃で挙兵して鎌倉を一時奪還した「中先代の乱」を起こしたものの足利尊氏に奪い返され、その後も南朝方として20年以上転戦し続け、最終的に足利方に捕らえられ1353年頃に鎌倉で処刑された、鎌倉幕府最後の得宗・北条高時の遺児は誰でしょう？","北条時行（ほうじょうときゆき）","漫画「逃げ上手の若君」の主人公。鎌倉幕府滅亡後も20年以上逃げ続け抵抗したが最後は処刑された悲劇の人物","歴史","難","歴史, ネタバレ, 鎌倉時代, 逃げ上手の若君"
