問題文,答え,メモ,ジャンル,難易度,タグ
野球において投手が9イニングを通じて相手打線に1本のヒットも四球も死球も与えず27人全員をアウトにして勝利を収めた際に称される、最高の投球記録を何というでしょう？,"パーフェクトゲーム
〇完全試合",ノーヒットノーランの上位概念。一人の走者も許さない完全試合。MLB史上でも数十例しかない記録。,スポーツ,5,"スポーツ,野球,投手,記録"
フィンランドが2017年から1年間試験的に実施したことでも注目を集めた、財産・就労状況・年齢を問わずすべての国民に政府が一定額の現金を定期的かつ無条件に支給するという社会保障の構想を何というでしょう？,ベーシックインカム（基本所得）,Universal Basic Income（UBI）。フィンランドでは2000人に月560ユーロを2年間給付する実験を実施。,社会,6,"社会,政治・経済,社会保障,制度"
ネルソン・マンデラが27年におよぶ投獄生活を経た闘争の末に廃止が実現し、1994年に彼が黒人初の大統領に就任した南アフリカ共和国で1948年から施行されていた人種隔離政策を何というでしょう？,アパルトヘイト,アフリカーンス語で「分離・隔たり」の意。1948年に国民党政権が制度化。1994年にマンデラ大統領就任で終焉。,文系学問,4,"文系学問,歴史,南アフリカ,人権"
スポーツの延長戦で採用される決着方式のひとつで、英語で「突然の死」を意味し、いずれかが先に得点やポイントを挙げた時点でその場で勝負が決まる先取点方式のことを何というでしょう？,サドンデス,英語 sudden death。アメリカンフットボールやゴルフなどで使用。サッカーでは廃止された時期もある。,スポーツ,4,"スポーツ,スポーツ用語,延長戦,ルール"
闘病中にもかかわらず1989年の紅白歌合戦に出演して「川の流れのように」を歌い上げ、同年52歳で逝去した、「昭和の歌姫」と称される日本の歌手は誰でしょう？,美空ひばり（みそらひばり）,1937年生まれ〜1989年没。「お祭りマンボ」「悲しい酒」など多数のヒット曲。1989年国民栄誉賞受賞。,芸能,4,"芸能,音楽,歌謡曲,演歌"
スティーヴン・スピルバーグやジョージ・ルーカスなど世界の名だたる映画人に影響を与え、1951年のヴェネツィア国際映画祭で「羅生門（らしょうもん）」が金獅子賞を受賞した日本映画を代表する監督は誰でしょう？,黒澤明（くろさわあきら）,「七人の侍」「生きる」「羅生門」などの名作を残す。1990年に米アカデミー賞名誉賞を受賞。,芸能,4,"芸能,テレビ・映画,映画監督,日本映画"
14世紀のイギリス人スコラ哲学者が原型を示した、「必要がないのに多くの前提を立ててはならない」という論理上の節約の原則で、同一現象に複数の説明が成立する場合は最もシンプルな仮説を優先すべきとする指針を、提唱者の名前と切断具を組み合わせた言葉で何というでしょう？,オッカムの剃刀（おっかむのかみそり）,ウィリアム・オブ・オッカム（1285頃〜1347頃）が原型を提唱。現代では科学・哲学で広く活用される原則。,文系学問,7,"文系学問,哲学,論理学,スコラ哲学"
ほぼ1日（約24時間）を1周期とする生物における体内時計のリズムのことで、睡眠・覚醒・体温・ホルモン分泌などの生理機能を制御しており、この仕組みを解明したジェフリー・ホールらの研究が2017年のノーベル生理学・医学賞を受賞した概念は何でしょう？,サーカディアンリズム（概日リズム）,Circadian（ラテン語で「ほぼ一日」）に由来。光信号をもとに体内時計がリセットされる仕組みも研究されている。,理系学問,6,"理系学問,生物・医学,体内時計,ノーベル賞"
アメリカのカリフォルニア州サンフランシスコ湾岸南部に位置し、半導体素材の名称に「谷」を意味する英語を合わせた言葉が由来で、AppleやGoogleなど世界的なテクノロジー企業が集積するIT産業の中心地を何と呼ぶでしょう？,シリコンバレー,カリフォルニア州サンタクララ郡を中心とする地域の通称。Siliconは半導体素材に由来。,社会,4,"社会,地理,アメリカ,IT"
熱力学の法則によってこれ以下の温度は原理的に存在しないとされる下限温度で、摂氏に換算すると約マイナス273.15度に相当し、ケルビン目盛りのゼロとして定義されている温度を何というでしょう？,絶対零度（ぜったいれいど）,0K = -273.15℃。熱運動が停止する理論上の最低温度。熱力学第三法則に関連する。,理系学問,4,"理系学問,物理・化学,熱力学,温度"
1992年のスーパーファミコン版を第1作として任天堂が展開するゲームシリーズで、甲羅やバナナの皮などのアイテムを駆使しながらポップなコースを走り抜けるカートレーシングゲームは何でしょう？,マリオカート,1992年8月27日にSFCで初代発売。シリーズ累計5000万本以上の出荷を記録。,アニメ&ゲーム,4,"アニメ&ゲーム,ゲーム,任天堂,レース"
哲学者フィリッパ・フットが原型を提示した思考実験で、制御不能な列車が5人に向かって疾走する状況でスイッチを切り替えれば別の1人が犠牲になるだけで済む場合に行動することの道徳的責任を問う、功利主義と義務論の対立を浮かび上がらせる問いを何と呼ぶでしょう？,トロッコ問題（とろっこもんだい）,フィリッパ・フット（1967年）が原型を提示。ジュディス・ジャービス・トムソンが後に発展させた。,ノンジャンル,7,"ノンジャンル,哲学,倫理学,思考実験"
バチカンのシスティーナ礼拝堂の天井に4年をかけて「天地創造」の壁画を描き上げ、フィレンツェのアカデミア美術館に現存する高さ約5メートルの「ダビデ像」も制作したルネサンス期のイタリア人芸術家は誰でしょう？,ミケランジェロ,1475年生まれ〜1564年没。システィーナ礼拝堂天井画は1508〜1512年制作。ダビデ像は1504年完成。,文系学問,5,"文系学問,美術・文学,ルネサンス,イタリア"
1994年の連載開始から累計発行部数2億部以上を達成し、毒薬で幼児化させられた高校生探偵・工藤新一（くどうしんいち）が江戸川姓を名乗りながら難事件を解決する、青山剛昌（あおやまごうしょう）原作の推理漫画作品は何でしょう？,名探偵コナン,1994年連載開始（週刊少年サンデー）。2023年に累計発行部数2.7億部突破。青山剛昌原作。,アニメ&ゲーム,4,"アニメ&ゲーム,アニメ,漫画,推理"
富野由悠季（とみのよしゆき）が「機動戦士ガンダム」シリーズで描いた概念で、宇宙空間での長期生活を経て人類が感覚的・超感覚的な能力を新たに備えた進化段階の人間を指す言葉は何でしょう？,ニュータイプ,ガンダムシリーズの基本概念。宇宙移民から生まれる新人類。「オールドタイプ」の対義語。,アニメ&ゲーム,5,"アニメ&ゲーム,アニメ,ガンダム,SF"
山下英子（やましたひでこ）がヨガの哲学用語を生活術として応用・提唱したことで広まり、不要なものへの執着を手放して生活空間と心を整えるという考え方で、2010年の「新語・流行語大賞」にノミネートされた整理術を何というでしょう？,断捨離（だんしゃり）,山下英子が提唱。ヨガの「断行・捨行・離行」に由来。2010年ユーキャン新語・流行語大賞ノミネート。,ライフスタイル,5,"ライフスタイル,ホビー,整理術,生活"
2004年シーズンにMLBシーズン最多安打記録を262本で更新し、外野手として10年連続ゴールデングラブ賞を受賞した、カタカナ4文字の登録名が世界中に知れ渡った日本人野球選手は誰でしょう？,イチロー,本名・鈴木一朗。2004年シーズン262安打（MLB記録）。2019年引退。,スポーツ,4,"スポーツ,野球,MLB,日本人"
本部が商標・ブランド・経営ノウハウをまとめた事業システムを加盟店に提供し、加盟店はその対価としてロイヤリティを支払いながら独立した事業者として営業できる権利を得る仕組みで、コンビニエンスストアや外食チェーンに広く普及しているビジネス形態を何というでしょう？,フランチャイズ,英語 franchise（権利・特権）が語源。日本では2022年時点でフランチャイズ市場は約26兆円規模。,ノンジャンル,5,"ノンジャンル,ビジネス,経済,流通"
大根・卵・こんにゃく・さつま揚げなどを昆布と鰹節（かつおぶし）のだしで煮込んだ日本の鍋料理で、江戸時代から屋台料理として親しまれ、全国各地で味付けや具材のバリエーションが異なることでも知られる料理は何でしょう？,おでん,「御田（おでん）」が語源という説がある。関東は濃口醤油ベース、関西は薄口ベースが多い。,ライフスタイル,3,"ライフスタイル,グルメ,日本料理,鍋"
自己を複製して同種の細胞を維持する能力と、さまざまな組織・器官の細胞へと分化できる多分化能の両方を持ち、体内では造血系や神経系など多くの種類が確認されており、再生医療の基盤として広く研究されているこの特殊な細胞を何と呼ぶでしょう？,幹細胞（かんさいぼう）,英語ではstem cell。iPS細胞は人工多能性幹細胞。造血幹細胞や神経幹細胞など種類は多様。,理系学問,6,"理系学問,生物・医学,細胞,山中伸弥"
