問題文,答え,メモ,ジャンル,難易度,タグ
"日本三大夜景とは、函館、神戸とあと一つは何でしょう？",長崎,日本の代表的な夜景スポットです,社会,2.2,"社会, 観光, 三大"
"漢字では「人参」と書く、オレンジ色の野菜は何でしょう？",ニンジン,野菜の漢字表記です,ライフスタイル,1.8,"ライフスタイル, 野菜, 漢字"
"「親譲りの無鉄砲で小供の時から損ばかりしている」という書き出しで始まる、夏目漱石の小説は何でしょう？",坊っちゃん,夏目漱石の代表作の一つです,文系学問,2.5,"文系学問, 小説, 書き出し"
"イタリア語で「小さな虫」という意味である、アルファベット2文字で表される自動車メーカーはどこでしょう？",フォルクスワーゲン,ドイツの自動車メーカーです,社会,2.8,"社会, 自動車, 語源"
"赤、青、黄色のように、他の色を混ぜ合わせても作ることができない色を何色というでしょう？",原色,色彩学の基礎用語です,理系学問,2.0,"理系学問, 色彩, 基礎"
"「桜桃忌」「人間失格」「走れメロス」といった代表作がある作家は誰でしょう？",太宰治,昭和の文豪の一人です,文系学問,2.3,"文系学問, 作家, 作品"
"「急がば回れ」という意味のことわざを、琵琶湖を用いて何というでしょう？",急がば回れ,琵琶湖の瀬田の唐橋が由来です,文系学問,2.4,"文系学問, ことわざ, 琵琶湖"
"「石橋を叩いて渡る」という意味のことわざを、「何を見てから歩く」というでしょう？",足元を見てから歩く,慎重さを表すことわざです,文系学問,2.6,"文系学問, ことわざ, 慎重"
"世界一高い山はエベレストですが、太陽系で最も高い山は何でしょう？",オリンポス山,火星にある巨大な火山です,理系学問,2.9,"理系学問, 天文, 比較"
"「GPS」の「P」とは何という言葉の略でしょう？",Position,全地球測位システムの略です,理系学問,2.7,"理系学問, 略語, GPS"
"略称を「WHO」という、国際機関は何でしょう？",世界保健機関,国連の専門機関の一つです,社会,2.1,"社会, 国際機関, 略語"
"別名を「パンダ」という、中国に生息する動物の正式名称は何でしょう？",ジャイアントパンダ,中国の国宝とされる動物です,理系学問,1.9,"理系学問, 動物, 別名"
"第1回直木賞を受賞した、川口松太郎の作品は何でしょう？",鶴八鶴次郎,直木賞の記念すべき第1回受賞作です,文系学問,2.8,"文系学問, 文学賞, 歴史"
"水、氷、水蒸気はいずれも同じ物質の何が異なった状態でしょう？",状態,物質の三態を表します,理系学問,2.0,"理系学問, 物理, 状態"
"春、夏、秋の前について、それぞれの季節を表す二十四節気は何でしょう？",立春・立夏・立秋,季節の始まりを示します,文系学問,2.4,"文系学問, 二十四節気, 季節"
"お金のことを、ある動物に例えて何というでしょう？",お足,昔の貨幣が足のような形だったことが由来です,文系学問,2.5,"文系学問, 古語, 動物"
"関西では「かしわ」のことを言うこともある、食用の鳥は何でしょう？",鶏,関西での呼び方の違いです,ライフスタイル,1.8,"ライフスタイル, 食材, 方言"
"小説「罪と罰」に登場する、主人公の名前は何でしょう？",ラスコーリニコフ,ドストエフスキーの代表作の主人公です,文系学問,2.7,"文系学問, 外国文学, 登場人物"
"ギリシャ神話において、太陽神として知られる神の名前は何でしょう？",アポロン,オリンポス十二神の一柱です,文系学問,2.3,"文系学問, ギリシャ神話, 神"
"日本三名園とは、兼六園、後楽園とあと一つは何でしょう？",偕楽園,茨城県水戸市にある庭園です,社会,2.4,"社会, 庭園, 三大"
"漢字では「向日葵」と書く、夏の代表的な花は何でしょう？",ヒマワリ,太陽の方向を向く花として知られます,理系学問,1.9,"理系学問, 植物, 漢字"
