問題文,答え,メモ,ジャンル,難易度,タグ
"日本で最も多く飼われているペットで、犬に次いで2番目に人気があるのは何でしょう？",猫,ペット人気ランキングの定番です,ライフスタイル,1.8,"ライフスタイル, ペット, 動物"
"漢字で「海豚」と書く海の哺乳類は何でしょう？",イルカ,海の生き物の漢字表記です,理系学問,2.2,"理系学問, 動物, 漢字"
"日本の都道府県で、県庁所在地が県名と異なる県の数は全部でいくつでしょう？",19個,地理の基礎知識です,社会,2.8,"社会, 地理, 数字"
"童謡「ふるさと」の歌詞で、「うさぎ追いし」の次に続くのは何でしょう？",かの山,日本の代表的な童謡です,文系学問,2.0,"文系学問, 童謡, 歌詞"
"将棋の駒で、前に1マスしか進めず、成ると金将になるのは何でしょう？",歩兵,将棋の最も数が多い駒です,スポーツ,2.5,"スポーツ, 将棋, 駒"
"現在の天皇陛下の元号は令和ですが、その前の元号は何だったでしょう？",平成,日本の元号の基礎知識です,社会,1.8,"社会, 元号, 歴史"
"スマートフォンの基本ソフト（OS）で、iPhoneに搭載されているのは何でしょう？",iOS,スマートフォンの基礎知識です,理系学問,2.0,"理系学問, IT, スマホ"
"日本の硬貨で、唯一穴が開いている額面はいくらでしょう？",5円,日本の通貨の特徴です,社会,1.8,"社会, 通貨, 硬貨"
"映画「となりのトトロ」で、サツキとメイの父親の職業は何でしょう？",大学教授,ジブリ映画の登場人物設定です,アニメ&ゲーム,2.3,"アニメ&ゲーム, ジブリ, 職業"
"日本で一番長い川は信濃川ですが、一番短い一級河川は何川でしょう？",ぶつぶつ川,和歌山県にある珍しい名前の川です,社会,3.0,"社会, 地理, 川"
"オリンピックの五輪マークで、青・黄・黒・緑と、あと一色は何色でしょう？",赤,オリンピックのシンボルです,スポーツ,2.0,"スポーツ, オリンピック, 色"
"お寿司屋さんで「あがり」と呼ばれる飲み物は何でしょう？",お茶,寿司屋の専門用語です,ライフスタイル,2.2,"ライフスタイル, 寿司, 専門用語"
"体温計で、平熱とされる範囲の上限は一般的に何度でしょう？",37度,医療の基礎知識です,理系学問,2.1,"理系学問, 医学, 体温"
"麻雀で、一人の手牌は何枚でしょう？",13枚,麻雀の基本ルールです,スポーツ,2.1,"スポーツ, 麻雀, ルール"
"コンビニエンスストアの「セブン-イレブン」の名前の由来となった営業時間は、朝7時から夜何時までだったでしょう？",夜11時,コンビニの歴史に関する問題です,社会,2.4,"社会, コンビニ, 歴史"
"日本の国歌「君が代」の歌詞にある「さざれ石」とは、どんな状態の石のことでしょう？",小さな石,国歌の歌詞の意味です,文系学問,2.6,"文系学問, 国歌, 歌詞"
"テレビのリモコンで、電源ボタンによく使われている色は何色でしょう？",赤,家電製品の一般的なデザインです,ライフスタイル,1.9,"ライフスタイル, 家電, 色"
"日本で最初にできた国立公園は何でしょう？",雲仙国立公園,日本の国立公園の歴史です,社会,2.9,"社会, 国立公園, 歴史"
"アニメ「ドラゴンボール」で、孫悟空の代表的な必殺技で、亀仙人から教わった技は何でしょう？",かめはめ波,ドラゴンボールの代表的な技です,アニメ&ゲーム,2.1,"アニメ&ゲーム, ドラゴンボール, 技"
"日本の法律で、選挙権を得られる年齢は何歳でしょう？",18歳,日本の選挙制度の基礎です,社会,1.8,"社会, 選挙, 年齢"
"料理の基本「調理のさしすせそ」で、「せ」は醤油ですが、「そ」は何でしょう？",味噌,料理の基本調味料です,ライフスタイル,2.0,"ライフスタイル, 料理, 調味料"
"人間の歯で、永久歯は全部で何本でしょう？",32本,人体の基礎知識です,理系学問,2.3,"理系学問, 人体, 歯"
"日本の新幹線で、最高速度が320km/hなのはどの路線でしょう？",東北新幹線,新幹線の性能に関する問題です,社会,2.8,"社会, 新幹線, 速度"
"ゴルフで、規定打数より1打少なくホールアウトすることを何というでしょう？",バーディー,ゴルフの基本用語です,スポーツ,2.2,"スポーツ, ゴルフ, 用語"
"日本の祝日で、年によって日付が変わる「移動祝日」の数は全部でいくつでしょう？",5つ,日本の祝日制度の問題です,社会,2.7,"社会, 祝日, 制度"
"アニメ「サザエさん」で、サザエさんの夫であるマスオさんの出身地は何県でしょう？",大阪府,サザエさんの登場人物設定です,アニメ&ゲーム,2.5,"アニメ&ゲーム, サザエさん, 出身地"
"日本で最も面積の小さい都道府県は香川県ですが、2番目に小さいのは何県でしょう？",大阪府,日本の地理データです,社会,2.6,"社会, 地理, 面積"
"漢字の部首で、「さんずい」は水を表しますが、「りっしんべん」は何を表すでしょう？",心,漢字の部首の意味です,文系学問,2.1,"文系学問, 漢字, 部首"
"日本の通貨で、現在発行されている最高額の紙幣は何円札でしょう？",10000円札,日本の通貨制度です,社会,1.8,"社会, 通貨, 紙幣"
"携帯電話の電波で、屋内でも電波が届きやすいとされる周波数帯域を、色の名前を使って何と呼ぶでしょう？",プラチナバンド,携帯電話の技術用語です,理系学問,2.9,"理系学問, 通信, 技術"
